order,kind,output_filename,references,prompt_source,prompt_line,status
1,STYLE_MASTER,STYLE_CINEMATIC_EP06.png,Keine,01_PROMPTS/NANOBANANA_GUIDE_V4.md,29,READY
2,STYLE_MASTER,STYLE_CONCEPTUAL_EP06.png,Keine,01_PROMPTS/NANOBANANA_GUIDE_V4.md,34,READY
3,STYLE_MASTER,STYLE_SCIENCE_EP06.png,EP06_Sleep_Studies_NHLBI_Polysomnography.jpg; EP06_REM_Polysomnography_30sec.png,01_PROMPTS/NANOBANANA_GUIDE_V4.md,39,READY
4,MAIN,IMG001_1963_BEDROOM_DOOR.png,STYLE_CINEMATIC_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,8,REDESIGN_FINAL
5,MAIN,IMG002_FOOTSTEPS_APPROACH.png,STYLE_CINEMATIC_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,13,REDESIGN_FINAL
6,MAIN,IMG003_HAND_WILL_NOT_MOVE.png,STYLE_CINEMATIC_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,18,REDESIGN_FINAL
7,MAIN,IMG004_MATTRESS_WEIGHT.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,23,READY
8,MAIN,IMG005_CHEST_PRESSURE_CLOSE.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,28,REDESIGN_FINAL
9,MAIN,IMG006_MALEVOLENT_PRESENCE_NEGATIVE_SPACE.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,33,REDESIGN_FINAL
10,MAIN,IMG007_FOGO_PLACE_ANCHOR_RECON.png,STYLE_CINEMATIC_EP06.png; EP06_Fogo_Island_Newfoundland_fishing_village_2002.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,38,READY
11,MAIN,IMG008_OLD_HAG_BEDROOM_PATTERN.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,43,READY
12,RESERVE,SHOT01_EMPTY_HALLWAY.png,STYLE_CINEMATIC_EP06.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,52,READY
13,RESERVE,SHOT02_FOGO_MAP_TABLE.png,EP06_Fogo_Island_to_Cape_Bonavista_Admiralty_Chart_1873.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,57,READY
14,MAIN,IMG009_REM_BODY_STILL.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,8,REDESIGN_FINAL
15,MAIN,IMG010_REM_RECORD_EDIT_BASE.png,STYLE_SCIENCE_EP06.png; EP06_REM_Polysomnography_30sec.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,13,READY
16,MAIN,IMG011_WAKE_BODY_LAG.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,18,REDESIGN_FINAL
17,MAIN,IMG012_ARM_COMMAND_NO_RESPONSE.png,STYLE_CINEMATIC_EP06.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,23,READY
18,MAIN,IMG013_INTRUDER_DOORWAY.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,28,REDESIGN_FINAL
19,MAIN,IMG014_INCUBUS_PRESSURE.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,33,READY
20,MAIN,IMG015_VESTIBULAR_FLOAT.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,38,REDESIGN_FINAL
21,MAIN,IMG016_THREE_FAMILIES_TRIPTYCH_BASE.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,43,REDESIGN_FINAL
22,RESERVE,SHOT03_REM_VS_SLOW_WAVE_SOURCE_TABLE.png,EP06_REM_Polysomnography_30sec.png; EP06_Slow_Wave_Sleep_PSG.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,52,READY
23,RESERVE,SHOT04_EMPTY_BEDROOM_SHADOWS.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,57,REDESIGN_FINAL
24,MAIN,IMG017_SLEEP_LAB_WIDE_RECON.png,STYLE_SCIENCE_EP06.png; EP06_Sleep_Studies_NHLBI_Polysomnography.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,8,READY
25,MAIN,IMG018_SLEEP_INTERRUPTION_CLOCK.png,STYLE_SCIENCE_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,13,REDESIGN_FINAL
26,MAIN,IMG019_RETURN_TO_BED_RECON.png,STYLE_SCIENCE_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,18,REDESIGN_FINAL
27,MAIN,IMG020_EEG_AWAKE_BODY_STILL_BASE.png,STYLE_SCIENCE_EP06.png; EP06_REM_Polysomnography_30sec.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,23,READY
28,MAIN,IMG021_LAB_HALLUCINATION_AMBIGUOUS.png,STYLE_CONCEPTUAL_EP06.png; EP06_Sleep_Studies_NHLBI_Polysomnography.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,28,READY
29,MAIN,IMG022_VIEWER_BEDROOM_TWO_STEPS.png,STYLE_CINEMATIC_EP06.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,33,READY
30,MAIN,IMG023_BODY_OR_VISITOR_SPLIT_BASE.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,38,REDESIGN_FINAL
31,MAIN,IMG024_EYE_CORNER_FORM.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,43,REDESIGN_FINAL
32,RESERVE,SHOT05_LAB_SENSOR_MACRO.png,STYLE_SCIENCE_EP06.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,52,READY
33,RESERVE,SHOT06_CTA_EMPTY_ROOM.png,STYLE_CINEMATIC_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,57,REDESIGN_FINAL
34,MAIN,IMG025_ALARM_WITHOUT_CAUSE.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,8,REDESIGN_FINAL
35,MAIN,IMG026_SOUND_BECOMES_STEP.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S7_S8.md,13,READY
36,MAIN,IMG027_SHADOW_BECOMES_SHOULDER.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,18,REDESIGN_FINAL
37,MAIN,IMG028_PRESENCE_BEFORE_FORM.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,23,REDESIGN_FINAL
38,MAIN,IMG029_OBSERVING_INTELLIGENCE_AMBIGUOUS.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,28,REDESIGN_FINAL
39,MAIN,IMG030_HUFFORD_RETURN_WITHOUT_PORTRAIT.png,STYLE_CINEMATIC_EP06.png; EP06_Fogo_Island_Newfoundland_fishing_village_2002.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S7_S8.md,33,READY
40,MAIN,IMG031_NAMES_OVER_SAME_ROOM_BASE.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,38,REDESIGN_FINAL
41,MAIN,IMG032_BEDROOM_TO_COURT_HANDOFF.png,STYLE_CINEMATIC_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,43,REDESIGN_FINAL
42,RESERVE,SHOT07_EMPTY_CORNER_AFTER_PRESENCE.png,STYLE_CONCEPTUAL_EP06.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,52,REDESIGN_FINAL
43,RESERVE,SHOT08_DAWN_AFTER_PARALYSIS.png,STYLE_CINEMATIC_EP06.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S7_S8.md,57,READY
