filename,original_filename,source_path,kit_path,required_by_prompt,traffic_light
EP06_REM_Polysomnography_30sec.png,SHARED_REM_Polysomnography_30sec_PD.png,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/01_ORIGINAL_GREEN/SCIENCE_LAB/SHARED_REM_Polysomnography_30sec_PD.png,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP06_REM_Polysomnography_30sec.png,YES,GREEN
EP06_Sleep_Studies_NHLBI_Polysomnography.jpg,SHARED_Sleep_Studies_NHLBI_Polysomnography_PD.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/01_ORIGINAL_GREEN/SCIENCE_LAB/SHARED_Sleep_Studies_NHLBI_Polysomnography_PD.jpg,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP06_Sleep_Studies_NHLBI_Polysomnography.jpg,YES,GREEN
EP06_EEG_cap_subject.jpg,SHARED_EEG_cap_subject_PD_personality_review.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB/SHARED_EEG_cap_subject_PD_personality_review.jpg,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP06_EEG_cap_subject.jpg,NO,YELLOW
EP06_Polysomnography_model_side.jpg,SHARED_Polysomnography_model_side_CC-BY-SA-4.0.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB/SHARED_Polysomnography_model_side_CC-BY-SA-4.0.jpg,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP06_Polysomnography_model_side.jpg,NO,YELLOW
EP06_Polysomnography_sensor_connections.jpg,SHARED_Polysomnography_sensor_connections_CC-BY-SA-4.0.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB/SHARED_Polysomnography_sensor_connections_CC-BY-SA-4.0.jpg,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP06_Polysomnography_sensor_connections.jpg,NO,YELLOW
EP06_Polysomnography_tester.jpg,SHARED_Polysomnography_tester_CC-BY-SA-4.0.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB/SHARED_Polysomnography_tester_CC-BY-SA-4.0.jpg,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP06_Polysomnography_tester.jpg,NO,YELLOW
EP06_Fogo_Island_to_Cape_Bonavista_Admiralty_Chart_1873.jpg,EP06_S02_Fogo_Island_to_Cape_Bonavista_Admiralty_Chart_1873.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/EP06/01_ORIGINAL_GREEN/MAPS/EP06_S02_Fogo_Island_to_Cape_Bonavista_Admiralty_Chart_1873.jpg,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP06_Fogo_Island_to_Cape_Bonavista_Admiralty_Chart_1873.jpg,YES,GREEN
EP06_Fogo_Island_Newfoundland_fishing_village_2002.jpg,EP06_S02_Fogo_Island_Newfoundland_fishing_village_2002.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/EP06/01_ORIGINAL_GREEN/PLACE/EP06_S02_Fogo_Island_Newfoundland_fishing_village_2002.jpg,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP06_Fogo_Island_Newfoundland_fishing_village_2002.jpg,YES,GREEN
EP06_SAK_Wilson_portrait_pre1937.jpg,EP06_S03_SAK_Wilson_portrait_pre1937_PD.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/EP06/01_ORIGINAL_GREEN/PORTRAITS/EP06_S03_SAK_Wilson_portrait_pre1937_PD.jpg,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP06_SAK_Wilson_portrait_pre1937.jpg,NO,GREEN
EP06_EEG_Cap_Icon.svg,EP06_S03_EEG_Cap_Icon_CC0.svg,SCHLAFPARALYSE_ASSETS_PHASE2/EP06/01_ORIGINAL_GREEN/SCIENCE_ICONS/EP06_S03_EEG_Cap_Icon_CC0.svg,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP06_EEG_Cap_Icon.svg,NO,GREEN
