filename,base_asset,view,resolution,camera_rule
SRC001_ART_BELL_PORTRAIT_FULL.png,EP08_Art_Bell_portrait_2000.webp,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC002_ART_BELL_PORTRAIT_DETAIL.png,EP08_Art_Bell_portrait_2000.webp,DETAIL_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC003_RADIO_STUDIO_1996_FULL.png,EP08_1996_radio_studio_context.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC004_RADIO_CONSOLE_DETAIL.png,EP08_radio_console_microphone.jpg,DETAIL_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC005_SM7_MICROPHONE_FULL.png,EP08_Shure_SM7_Microphone.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC006_VINTAGE_MICROPHONE_FULL.png,EP08_Shure_55S_vintage_mic.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC007_FAX_MACHINE_FULL.png,EP08_fax_machine.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC008_SHORTWAVE_RECEIVER_FULL.png,EP08_shortwave_radio_receiver.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC009_ROTARY_PHONE_FULL.png,EP08_Rotary_Dial_Telephone.svg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC010_CRT_MONITOR_FULL.png,EP08_CRT_monitor.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC011_BBS_SCREEN_FULL.png,EP08_Callisto_BBS_screenshot.png,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC012_BBS_SCREEN_DETAIL.png,EP08_Callisto_BBS_screenshot.png,DETAIL_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC013_GENERIC_MODEM_FULL.png,EP08_Generic_Modem.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC014_MODEM_PCB_MACRO.png,EP08_9_6k_Modem_PCB.jpg,DETAIL_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC015_ROSWELL_FBI_COVER.png,EP08_FBI_Roswell_UFO_file_1947.pdf,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC016_ROSWELL_REPORTS_FULL.png,EP08_Roswell_US_Government_reports_1994-1997.png,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC017_AREA51_DIAGRAM_FULL.png,EP08_Area51_CIA_declassified_diagram_1966.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC018_PSG_MODEL_SIDE_FULL.png,EP08_Polysomnography_model_side.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC019_SENSOR_CONNECTIONS_FULL.png,EP08_Polysomnography_sensor_connections.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC020_SLEEP_STUDY_FULL.png,EP08_Sleep_Studies_NHLBI_Polysomnography.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC021_REM_TRACE_FULL.png,EP08_REM_Polysomnography_30sec.png,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC022_MACK_HOPKINS_PHOTO_FULL.png,EP08_Budd_Hopkins_John_E_Mack_hypnosis_Istanbul_1995.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC023_MACK_PHOTO_DETAIL.png,EP08_Budd_Hopkins_John_E_Mack_hypnosis_Istanbul_1995.jpg,DETAIL_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC024_EEG_CAP_FULL.png,EP08_EEG_cap_subject.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC025_PSG_TESTER_FULL.png,EP08_Polysomnography_tester.jpg,FULL_CONTAIN_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC026_PSG_MODEL_DETAIL.png,EP08_Polysomnography_model_side.jpg,DETAIL_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC027_REM_TRACE_DETAIL.png,EP08_REM_Polysomnography_30sec.png,DETAIL_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC028_SLEEP_STUDY_DETAIL.png,EP08_Sleep_Studies_NHLBI_Polysomnography.jpg,DETAIL_STATIC,2560x1440,NO_PAN_NO_ZOOM
SRC029_SENSOR_DETAIL.png,EP08_Polysomnography_sensor_connections.jpg,DETAIL_STATIC,2560x1440,NO_PAN_NO_ZOOM
