order,kind,output_filename,references,prompt_source,prompt_line,status
1,STYLE_MASTER,STYLE_CINEMATIC_EP07.png,Keine,01_PROMPTS/NANOBANANA_GUIDE_V4.md,29,READY
2,STYLE_MASTER,STYLE_ARCHIVE_EP07.png,EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf; EP07_Fuseli_The_Nightmare_1781.jpg,01_PROMPTS/NANOBANANA_GUIDE_V4.md,34,READY
3,STYLE_MASTER,STYLE_CONCEPTUAL_EP07.png,Keine,01_PROMPTS/NANOBANANA_GUIDE_V4.md,39,READY
4,MAIN,IMG001_SALEM_BEDROOM_COMAN_RECON.png,STYLE_CINEMATIC_EP07.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,7,READY
5,MAIN,IMG002_COMAN_TRIES_TO_WAKE_WIFE.png,STYLE_CINEMATIC_EP07.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,12,READY
6,MAIN,IMG003_PRIVATE_NIGHT_TO_COURT.png,STYLE_ARCHIVE_EP07.png; EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf; EP07_Witchcraft_at_Salem_Village_1876.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,17,READY
7,MAIN,IMG004_BRIDGET_BISHOP_COURT_CONTEXT_RECON.png,STYLE_CINEMATIC_EP07.png; EP07_Bridget_Bishop_lithograph.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,22,READY
8,MAIN,IMG005_NIGHTMARE_MOTIF_ROOM_BASE.png,STYLE_CINEMATIC_EP07.png; EP07_Fuseli_The_Nightmare_1781.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,27,READY
9,RESERVE,SHOT01_SALEM_EMPTY_BED.png,STYLE_CINEMATIC_EP07.png; EP07_Salem_Village_Parsonage_Foundation.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,36,READY
10,MAIN,IMG006_SAME_MECHANIC_DIFFERENT_ROOMS.png,STYLE_CONCEPTUAL_EP07.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,7,READY
11,MAIN,IMG007_MARA_INCUBUS_KANASHIBARI_BASE.png,STYLE_CONCEPTUAL_EP07.png; EP07_Jinn_from_Ali_manuscript.png; EP07_Kunisada_The_Ghost.jpg; EP07_Yoshitoshi_Shoki.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,12,READY
12,MAIN,IMG008_BURNEY_RELIEF_SOURCE_ROOM.png,STYLE_ARCHIVE_EP07.png; EP07_Queen_of_the_Night_Burney_Relief.jpg,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,17,READY
13,MAIN,IMG009_MEDIEVAL_BEDROOM_EXPLANATION.png,STYLE_CINEMATIC_EP07.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,22,READY
14,MAIN,IMG010_RITUAL_RESPONSE_TABLE.png,STYLE_CINEMATIC_EP07.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,27,READY
