filename,original_filename,source_path,kit_path,required_by_prompt,traffic_light
EP07_REM_Polysomnography_30sec.png,SHARED_REM_Polysomnography_30sec_PD.png,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/01_ORIGINAL_GREEN/SCIENCE_LAB/SHARED_REM_Polysomnography_30sec_PD.png,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_REM_Polysomnography_30sec.png,NO,GREEN
EP07_Sleep_Studies_NHLBI_Polysomnography.jpg,SHARED_Sleep_Studies_NHLBI_Polysomnography_PD.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/01_ORIGINAL_GREEN/SCIENCE_LAB/SHARED_Sleep_Studies_NHLBI_Polysomnography_PD.jpg,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_Sleep_Studies_NHLBI_Polysomnography.jpg,NO,GREEN
EP07_EEG_cap_subject.jpg,SHARED_EEG_cap_subject_PD_personality_review.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB/SHARED_EEG_cap_subject_PD_personality_review.jpg,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_EEG_cap_subject.jpg,NO,YELLOW
EP07_Polysomnography_model_side.jpg,SHARED_Polysomnography_model_side_CC-BY-SA-4.0.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB/SHARED_Polysomnography_model_side_CC-BY-SA-4.0.jpg,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_Polysomnography_model_side.jpg,NO,YELLOW
EP07_Polysomnography_sensor_connections.jpg,SHARED_Polysomnography_sensor_connections_CC-BY-SA-4.0.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB/SHARED_Polysomnography_sensor_connections_CC-BY-SA-4.0.jpg,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_Polysomnography_sensor_connections.jpg,NO,YELLOW
EP07_Polysomnography_tester.jpg,SHARED_Polysomnography_tester_CC-BY-SA-4.0.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB/SHARED_Polysomnography_tester_CC-BY-SA-4.0.jpg,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_Polysomnography_tester.jpg,NO,YELLOW
EP07_Queen_of_the_Night_Burney_Relief.jpg,EP07_S03_Queen_of_the_Night_Burney_Relief_CC0.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/EP07/01_ORIGINAL_GREEN/ANCIENT_OBJECTS/EP07_S03_Queen_of_the_Night_Burney_Relief_CC0.jpg,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_Queen_of_the_Night_Burney_Relief.jpg,YES,GREEN
EP07_Jinn_from_Ali_manuscript.png,EP07_S03_Jinn_from_Ali_manuscript_PD.png,SCHLAFPARALYSE_ASSETS_PHASE2/EP07/01_ORIGINAL_GREEN/CROSS_CULTURAL_ART/EP07_S03_Jinn_from_Ali_manuscript_PD.png,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_Jinn_from_Ali_manuscript.png,NO,GREEN
EP07_Kunisada_The_Ghost.jpg,EP07_S03_Kunisada_The_Ghost_PD.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/EP07/01_ORIGINAL_GREEN/CROSS_CULTURAL_ART/EP07_S03_Kunisada_The_Ghost_PD.jpg,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_Kunisada_The_Ghost.jpg,NO,GREEN
EP07_Yoshitoshi_Shoki.jpg,EP07_S03_Yoshitoshi_Shoki_PD.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/EP07/01_ORIGINAL_GREEN/CROSS_CULTURAL_ART/EP07_S03_Yoshitoshi_Shoki_PD.jpg,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_Yoshitoshi_Shoki.jpg,NO,GREEN
EP07_Abildgaard_Nightmare_1800.jpg,EP07_S02_Abildgaard_Nightmare_1800_PD.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/EP07/01_ORIGINAL_GREEN/HISTORICAL_ART/EP07_S02_Abildgaard_Nightmare_1800_PD.jpg,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_Abildgaard_Nightmare_1800.jpg,NO,GREEN
EP07_Fuseli_The_Nightmare_1781.jpg,EP07_S02_Fuseli_The_Nightmare_1781_PD.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/EP07/01_ORIGINAL_GREEN/HISTORICAL_ART/EP07_S02_Fuseli_The_Nightmare_1781_PD.jpg,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_Fuseli_The_Nightmare_1781.jpg,YES,GREEN
EP07_Malleus_1494_Bull_Innocent_VIII_Wellcome.jpg,EP07_Malleus_1494_Bull_Innocent_VIII_Wellcome_PD.jpg,SCHLAFPARALYSE_ASSETS_PHASE2/EP07/01_ORIGINAL_GREEN/HISTORICAL_BOOKS/EP07_Malleus_1494_Bull_Innocent_VIII_Wellcome_PD.jpg,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/02_ASSETS/EP07_Malleus_1494_Bull_Innocent_VIII_Wellcome.jpg,NO,GREEN
