filename,source_file,kind,scale,resolution,camera_rule
ORIG017_BRAINSTEM_ANATOMY.png,EP06_S03_ORIG017_Brainstem_Anatomy_CC-BY-3.0.png,ORIGINAL_CONTAIN,0.84,2560x1440,NO_PAN_NO_ZOOM
ORIG018_SLEEP_CYCLE_HYPNOGRAM.png,EP06_S02_ORIG018_Sleep_Cycle_Hypnogram_CC-BY-SA-3.0.svg,ORIGINAL_CONTAIN,0.58,2560x1440,NO_PAN_NO_ZOOM
ORIG019_CIRCADIAN_RHYTHM_NIH.png,EP06_S02_ORIG019_Circadian_Rhythm_NIH_PD.jpg,ORIGINAL_CONTAIN,0.69,2560x1440,NO_PAN_NO_ZOOM
ORIG020_EEG_62_CHANNEL_CC0.png,EP06_S04_ORIG020_EEG_62_Channel_CC0.svg,ORIGINAL_CONTAIN,0.48,2560x1440,NO_PAN_NO_ZOOM
ORIG021_AMYGDALA_ANIMATION.png,EP06_S04_ORIG021_Limbic_System_CC-BY-3.0.png,ORIGINAL_CONTAIN,1.05,2560x1440,NO_PAN_NO_ZOOM
ORIG022_OBE_ICON.png,EP06_S04_ORIG022_OBE_Icon_CC-BY-4.0.svg,ORIGINAL_CONTAIN,0.26,2560x1440,NO_PAN_NO_ZOOM
ORIG023_SLEEP_DEPRIVATION.png,EP06_S02_ORIG023_Sleep_Deprivation_CC0.svg,ORIGINAL_CONTAIN,0.45,2560x1440,NO_PAN_NO_ZOOM
ORIG026_SALEM_COURT_1876.png,EP07_Witchcraft_at_Salem_Village_1876.jpg,ORIGINAL_CONTAIN_SHARED_WITH_EP07,0.77,2560x1440,NO_PAN_NO_ZOOM
ORIG027_BRIDGET_BISHOP_RECORD.png,EP07_Bridget_Bishop_execution_archive_scan.png,ORIGINAL_CONTAIN_SHARED_WITH_EP07,1.15,2560x1440,NO_PAN_NO_ZOOM
EP06_Fogo_Island_Cape_Freels_map.png,EP06_Fogo_Island_Cape_Freels_map.svg,KIT_SVG_RASTER,0.46,2560x1440,NO_PAN_NO_ZOOM
EP06_EEG_Cap_Icon.png,EP06_EEG_Cap_Icon.svg,KIT_SVG_RASTER,0.53,2560x1440,NO_PAN_NO_ZOOM
ORIG024_1960S_DORM_CONTEXT.png,-,GAP_SOURCE_CARD,-,2560x1440,STATIC_CARD
ORIG025_ORAL_HISTORY_RECORDER.png,-,GAP_SOURCE_CARD,-,2560x1440,STATIC_CARD
