id,status,path,bytes,sha256,final_url,error
EP05_SRC01,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP05\EP05\02_REVIEW_YELLOW\PORTRAITS\SRC01_Wolfgang_Pauli_1924.jpg,557246,698a5e70287c6cf7fa02d1db540908dd8c2795457460ce9b766dcbbbeb74ea63,https://upload.wikimedia.org/wikipedia/commons/e/ea/Wolfgang_Pauli.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP05_SRC02,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP05\EP05\01_ORIGINAL_GREEN\PORTRAITS\SRC02_Wolfgang_Pauli_1945.jpg,58999,58ef202ed9f603f93e9c82d3e1062eab47aae8c97c3cc577010ad8f71b708d23,https://upload.wikimedia.org/wikipedia/commons/4/43/Pauli.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP05_SRC03,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP05\EP05\02_REVIEW_YELLOW\GROUPS\SRC03_Solvay_Conference_1927_Version2.jpg,444241,7b164dfbc4ab6e491ce81972b8c0e076fdc4af622289d0aa3cb43ee3c2be4030,https://upload.wikimedia.org/wikipedia/commons/8/89/Solvay_conference_1927_Version2.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP05_SRC04,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP05\EP05\02_REVIEW_YELLOW\GROUPS\SRC04_Solvay_Conference_1927.jpg,2671814,ae76a5be54f53cca50074a0d1ac8653187154d264fc58ed928e1b92c27e17e2a,https://upload.wikimedia.org/wikipedia/commons/6/6e/Solvay_conference_1927.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP05_SRC05,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP05\EP05\02_REVIEW_YELLOW\PORTRAITS\SRC05_Carl_Gustav_Jung_Portrait.jpg,44065,1918441815fb74dfedc708b9a2bd1e47957c393bd40cfacfe0ae4a97d52e2e4b,https://upload.wikimedia.org/wikipedia/commons/b/b9/Carl_Gustav_Jung_portrait.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP05_SRC06,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP05\EP05\02_REVIEW_YELLOW\PLACES\SRC06_ETH_Zuerich_Historical.jpg,3833065,b5b3a9304fbb7a70bc6941ca37668971859b64de3c2055e5b001e728afab5eaf,https://upload.wikimedia.org/wikipedia/commons/d/d9/ETH_Zuerich_1880.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP05_SRC07,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP05\EP05\01_ORIGINAL_GREEN\PORTRAITS\SRC07_Johannes_Kepler_Portrait.jpg,643322,90b53515521b0cde39787e5164ffcd6f7c79e2c8b55fcdd5895f20c301d42837,https://upload.wikimedia.org/wikipedia/commons/6/66/Portrait_of_Johannes_Kepler.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP05_SRC08,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP05\EP05\02_REVIEW_YELLOW\SPECIES\SRC08_Cetonia_Aurata_Species.jpg,196846,04a54f5adb343f43f9963741bd1c719bcc7c904510b7c8428c3f6fb2a4af50fb,https://upload.wikimedia.org/wikipedia/commons/f/f7/Cetonia_aurata.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP05_SRC09,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP05\EP05\01_ORIGINAL_GREEN\SPECIES\SRC09_Cetonia_Aurata_CC0.jpg,1439585,413162ee79d95e9a89a580a95a2fe33aca57a8f16a21dfad82f44c5dfb17037b,https://upload.wikimedia.org/wikipedia/commons/3/3d/Cetonia-aurata-21-fws.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP05_DOC01,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP05\EP05\03_REFERENCE_ONLY\DOCUMENTS\EP05_DOC01_JUNG_PAULI_LETTER.url.txt,,,,
EP05_DOC02,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP05\EP05\03_REFERENCE_ONLY\DOCUMENTS\EP05_DOC02_NATURERKLAERUNG_UND_PSYCHE_1952.url.txt,,,,
