asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,found_by_query,bytes,sha256
EP13-X01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_X_Bas_lica_de_Nossa_Senhora_do_Ros_rio_F_tima_Portugal_12074739014_j.jpg,File:Basílica de Nossa Senhora do Rosário - Fátima - Portugal (12074739014).jpg,https://commons.wikimedia.org/wiki/File:Basílica_de_Nossa_Senhora_do_Rosário_-_Fátima_-_Portugal_(12074739014).jpg,CC BY-SA 2.0,"Vitor Oliveira from Torres Vedras, PORTUGAL",2012-12-23 00:06,3776x5757,21.74,Cova da Iria 1917,6808406,ea65eb8c65f42b43fdc67e27a8df62a850e1c348dad0e7ebd9220819e66b3b01
EP13-X02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_X_Fiat_Campagnola_attempted_murder_of_Pope_John_Paul_II_jpg.jpg,"File:Fiat ""Campagnola"" attempted murder of Pope John Paul II.jpg","https://commons.wikimedia.org/wiki/File:Fiat_""Campagnola""_attempted_murder_of_Pope_John_Paul_II.jpg",CC BY-SA 4.0,Livioandronico2013,2015-01-25 11:37,4878x3797,18.52,John Paul II 1981,8436949,acb657256e3c8f22de5930a08e417d06b00b78bfd51b7fc806a74aa3b2c84577
EP13-X03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_X_Portugal_Fatima_Sanctuary_of_Fatima_52594116939_jpg.jpg,"File:Portugal, Fatima, Sanctuary of Fatima. (52594116939).jpg","https://commons.wikimedia.org/wiki/File:Portugal,_Fatima,_Sanctuary_of_Fatima._(52594116939).jpg",Public domain,Lark Ascending,2019-05-20 12:10,5056x3362,17.0,Sanctuary of Fatima,8361473,abe17f81c51b2d6a3d6dece8fa0bebb79f728b7376d20a06cb00b8e27e586826
EP13-X04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_X_Fatima_Portugal_5196305334_jpg.jpg,"File:Fatima, Portugal (5196305334).jpg","https://commons.wikimedia.org/wiki/File:Fatima,_Portugal_(5196305334).jpg",CC BY 2.0,"Francisco Antunes from London, United Kingdom",2010-11-20 19:04,4310x2868,12.36,Fatima pilgrims 1917,950861,74fc45fa9680d51746d764097f6abc8ecdd64c701e6f5b88fe3182b3c0ba8d44
EP13-X05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_X_F_tima_Portugal_48916886317_jpg.jpg,File:Fátima - Portugal (48916886317).jpg,https://commons.wikimedia.org/wiki/File:Fátima_-_Portugal_(48916886317).jpg,CC BY 2.0,"Renato Alves da Costa from São Paulo, Brasil",2019-10-02 11:31,4000x3000,12.0,Cova da Iria 1917,4247276,4faffff4a73d2de551650c6fb93f111a5fc7cda2081beb05af9b41901aa9aa0f
EP13-X06,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_X_F_tima_Capelinha_das_Apari_es_jpg.jpg,"File:Fátima, Capelinha das Aparições.jpg","https://commons.wikimedia.org/wiki/File:Fátima,_Capelinha_das_Aparições.jpg",CC BY-SA 4.0,Palickap,2017-07-07 18:43:38,3968x2976,11.81,Capelinha Fatima,2344220,ba99a1bb84b7ee839e26eaf57ab167de90f667aae1d80372fa917fb7b49f4816
EP13-X07,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_X_First_Sculpture_of_Our_Lady_of_Fatima_jpg.jpg,File:First Sculpture of Our Lady of Fatima.jpg,https://commons.wikimedia.org/wiki/File:First_Sculpture_of_Our_Lady_of_Fatima.jpg,Public domain,Bingar1234,2014-07-15,2459x4223,10.38,Cova da Iria 1917,2465518,9449a134622a882695187ca7d3d8082d525a776bfc67624486c65e7d212f4c06
EP13-X08,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_X_Top_Fatima_jpg.jpg,File:Top Fatima.jpg,https://commons.wikimedia.org/wiki/File:Top_Fatima.jpg,CC BY-SA 4.0,PauloGarciaMartins,2017-09-10 08:48:23,2831x3538,10.02,Sanctuary of Fatima,1613741,368ce2b28af1a4baccb9389871aa7a1274f4d7849f33178d31c4b5717d6be2d2
EP13-X09,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_X_Portugal_Fatima_Knee_walk_while_praying_at_Sanctuary_of_Fatima_361.jpg,File:Portugal (Fatima) Knee walk while praying at Sanctuary of Fatima (36139080545).jpg,https://commons.wikimedia.org/wiki/File:Portugal_(Fatima)_Knee_walk_while_praying_at_Sanctuary_of_Fatima_(36139080545).jpg,CC BY 2.0,"Güldem Üstün from Istanbul, TURKEY",2017-07-24 22:28,3616x2532,9.16,Sanctuary of Fatima,5401151,caa9536e53acc88f134ac7d778c21943f9339275bba4b54b489d951e01cb8abf
EP13-X10,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_X_Sanctuary_of_Fatima_jpg.jpg,File:Sanctuary of Fatima.jpg,https://commons.wikimedia.org/wiki/File:Sanctuary_of_Fatima.jpg,CC BY 2.0,"tomasz przechlewski from Sopot, Poland",2018-02-08 12:41,3395x1672,5.68,Sanctuary of Fatima,916504,7b80cac32f27fbbab9f8fb460366a8735a5b34edceb74d1c3e5b04dc948ebc3f
