asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,hd_capable,bytes,sha256,shared_with
EP16-C01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Istoria_e_dimostrazioni_intorno_alle_macchie_solari_e_loro_accidenti_l.jpg,"File:Istoria e dimostrazioni intorno alle macchie solari e loro accidenti..., le macchie solari osservate da galileo, per giacomo mascardi, roma 1613.jpg","https://commons.wikimedia.org/wiki/File:Istoria_e_dimostrazioni_intorno_alle_macchie_solari_e_loro_accidenti...,_le_macchie_solari_osservate_da_galileo,_per_giacomo_mascardi,_roma_1613.jpg",CC BY-SA 4.0,Francesco Bini,2024-01-03 13:50:17,5805x3783,21.96,YES,10496774,246c8fac8c92f65442a74907a93d4ed67b412e4b2deb174b1563794651700035,-
EP16-C02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Index_librorum_prohibitorum_Benedicti_XIV_1758_Frontispicium_jpg.jpg,File:Index librorum prohibitorum Benedicti XIV 1758. Frontispicium.jpg,https://commons.wikimedia.org/wiki/File:Index_librorum_prohibitorum_Benedicti_XIV_1758._Frontispicium.jpg,Public domain,"Gioan Fabri (Giovanni Fabri, ?-1777)",1758,2995x4835,14.48,YES,5025427,e9abde0ad01d7aadb40157d320ec0edecd1ab4277e90617e4e5be4642d21227c,-
EP16-C03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Paulus_IV_Paolo_IV_jpg.jpg,File:Paulus IV. Paolo IV.jpg,https://commons.wikimedia.org/wiki/File:Paulus_IV._Paolo_IV.jpg,CC0,Giovanni Battista de'Cavalieri,"1580date QS:P571,+1580-00-00T0",2701x3738,10.1,YES,700703,d5017518c4edc080e3e57b9ee0c9a4d1c01aecd6909fda63a9c1dece9ef2491d,-
EP16-C04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Portrait_of_Pope_Pius_IV_MET_DP874189_jpg.jpg,File:Portrait of Pope Pius IV MET DP874189.jpg,https://commons.wikimedia.org/wiki/File:Portrait_of_Pope_Pius_IV_MET_DP874189.jpg,CC0,Nicolas Beatrizet,mid-16th century,2706x3671,9.93,YES,4658682,cef23ab1621c0b938b7d3daaefd9ecc53423ae561e29a1f95a3c4b92e9a8f54c,-
EP16-C05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Ren_Descartes_1644_Principia_philosophiae_jpg.jpg,File:René Descartes 1644 Principia philosophiae.jpg,https://commons.wikimedia.org/wiki/File:René_Descartes_1644_Principia_philosophiae.jpg,Public domain,René Descartes,"1644date QS:P571,+1644-00-00T0",2796x3440,9.62,YES,1898602,f66d7a9fce1c64c5b53daeddca2c313602045fd6c218c36b79cf30e147ec406a,-
EP16-C06,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_De_Occulta_Philosophia_Libri_III_1533_djvu.djvu,File:De Occulta Philosophia Libri III (1533).djvu,https://commons.wikimedia.org/wiki/File:De_Occulta_Philosophia_Libri_III_(1533).djvu,Public domain,Heinrich Cornelius Agrippa,1533,2250x3160,7.11,YES,54252164,9b18c8c185a4ca9929bf22867344b6c932ebdd5992c7869bc7cc1dd6755ee0fd,-
EP16-C07,../EP14_VATICAN_02/03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Galileo_s_sketches_of_the_moon_png.png,File:Galileo's sketches of the moon.png,https://commons.wikimedia.org/wiki/File:Galileo's_sketches_of_the_moon.png,Public domain,Galileo Galilei,1610,2200x3050,6.71,YES,6366213,fbac3720cddbe8d7ac937f01ab992f6dade869abf2bb3daf28775d7ba1a9a8c8,EP14_VATICAN_02
EP16-C08,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Frans_Hals_Portrait_of_Ren_Descartes_jpg.jpg,"File:Frans Hals, Portrait of René Descartes.jpg","https://commons.wikimedia.org/wiki/File:Frans_Hals,_Portrait_of_René_Descartes.jpg",Public domain,Frans Hals,1649,2178x2958,6.44,YES,1955407,41d252712ede775f7088d8b1fcb665706ca248f55c4f3f6a18f86572270f3955,-
EP16-C09,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Index_Librorum_Prohibitorum_1711_jpg.jpg,File:Index Librorum Prohibitorum 1711.jpg,https://commons.wikimedia.org/wiki/File:Index_Librorum_Prohibitorum_1711.jpg,CC BY-SA 4.0,Drw1,2018-07-30 16:35:33,2194x2419,5.31,YES,1151092,4ebb1d6bd6f318d3686193ef409435c879799576206fdbbcb2bb5445f96ce343,-
EP16-C10,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Justus_Sustermans_Portrait_of_Galileo_Galilei_Uffizi_jpg.jpg,File:Justus Sustermans - Portrait of Galileo Galilei (Uffizi).jpg,https://commons.wikimedia.org/wiki/File:Justus_Sustermans_-_Portrait_of_Galileo_Galilei_(Uffizi).jpg,Public domain,Justus Sustermans,"1635date QS:P571,+1635-00-00T0",2113x2500,5.28,YES,2123787,f2addcf71910b1a36ef5c24cd27c97454fbf96188364da781a4c6e304ecb4f10,-
EP16-C11,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Index_librorum_prohibitorum_IA_indexlibrorumpro00greg_pdf.pdf,File:Index librorum prohibitorum (IA indexlibrorumpro00greg).pdf,https://commons.wikimedia.org/wiki/File:Index_librorum_prohibitorum_(IA_indexlibrorumpro00greg).pdf,Public domain,Gregory XVI,,1339x2154,2.88,YES,41652462,cdea7cff348d9feac64571f78b6a14bef71480f6f1887246d1bf76711af557c8,-
EP16-C12,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Titelkupfer_Index_librorum_prohibitorum_jpg.jpg,File:Titelkupfer Index librorum prohibitorum.jpg,https://commons.wikimedia.org/wiki/File:Titelkupfer_Index_librorum_prohibitorum.jpg,Public domain,Unknown authorUnknown author,1711,1300x1975,2.57,YES,1093080,a64812f09d374127c28e2c0709c7f3fc1b23b226ad8004ae09b2b4b0f5c7b0f6,-
EP16-C13,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Index_librorum_prohibitorum_cum_regulis_confectis_per_patres_a_Trident.pdf,"File:Index librorum prohibitorum, cum regulis confectis per patres a Tridentina Synodo delectos, auctoritate sanctiss. D.N. Pii 4., Pont. Max. comprobatus. (IA ita-bnc-ald-00000309-001).pdf","https://commons.wikimedia.org/wiki/File:Index_librorum_prohibitorum,_cum_regulis_confectis_per_patres_a_Tridentina_Synodo_delectos,_auctoritate_sanctiss._D.N._Pii_4.,_Pont._Max._comprobatus._(IA_ita-bnc-ald-00000309-001).pdf",Public domain,"Manuzio, Paolo",,1239x1650,2.04,NO,43015125,da910596adfe64d4a6337105b1ce1f040bc70cc070b8acf0338a759e89bf3745,-
EP16-C14,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Index_librorum_prohibitorum_cum_regulis_confectis_per_patres_a_Trident.pdf,"File:Index librorum prohibitorum, cum regulis confectis per patres a Tridentina Synodo delectos, auctoritate sanctiss. d. n. Pij 4., pont. max. comprobatus. (IA ita-bnc-ald-00000310-001).pdf","https://commons.wikimedia.org/wiki/File:Index_librorum_prohibitorum,_cum_regulis_confectis_per_patres_a_Tridentina_Synodo_delectos,_auctoritate_sanctiss._d._n._Pij_4.,_pont._max._comprobatus._(IA_ita-bnc-ald-00000310-001).pdf",Public domain,"Manuzio, Paolo",,1239x1650,2.04,NO,23188400,da910596adfe64d4a6337105b1ce1f040bc70cc070b8acf0338a759e89bf3745,-
EP16-C15,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Index_librorum_prohibitorum_Sanctissimi_Domini_Nostri_Benedicti_XIV_Po.pdf,File:Index librorum prohibitorum Sanctissimi Domini Nostri Benedicti XIV Pontificis Maximi juxssu recognitus (IA b30535554).pdf,https://commons.wikimedia.org/wiki/File:Index_librorum_prohibitorum_Sanctissimi_Domini_Nostri_Benedicti_XIV_Pontificis_Maximi_juxssu_recognitus_(IA_b30535554).pdf,Public domain,,,1075x1635,1.76,NO,28330850,9392cafbf0937d2ecbe1f49300beb638fe3ee0e898e795469dd766483257100e,-
EP16-C16,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Descartes_magnetic_field_jpg.jpg,File:Descartes magnetic field.jpg,https://commons.wikimedia.org/wiki/File:Descartes_magnetic_field.jpg,Public domain,René Descartes,1644,1372x1165,1.6,NO,595784,ba6eac0b6de988794bcca646c3da7f0bf74931ad492c5735f7590b54c2278ebc,-
EP16-C17,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Illustration_showing_Descartes_mechanical_view_of_a_universe_filled_wi.jpg,File:Illustration showing Descartes' mechanical view of a universe filled with plenum and a system of vortexes that carries planets around the sun LCCN92518505.jpg,https://commons.wikimedia.org/wiki/File:Illustration_showing_Descartes'_mechanical_view_of_a_universe_filled_with_plenum_and_a_system_of_vortexes_that_carries_planets_around_the_sun_LCCN92518505.jpg,Public domain,"Miscellaneous Items in High Demand, PPOC, Library of Congress",1644,994x1536,1.53,NO,280888,c7a976fc4821f3fa8060fe097e5968ff6f97bc3432950c0c64246e82dee5ef86,-
EP16-C18,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_Meditationes_de_prima_philosophia_1641_jpg.jpg,File:Meditationes de prima philosophia 1641.jpg,https://commons.wikimedia.org/wiki/File:Meditationes_de_prima_philosophia_1641.jpg,Public domain,Bibliothèque Nationale de France,1641,966x1566,1.51,NO,245051,91e55e1f0a5bf3844164afbd6d4b8e6bedccf70de7445f9c5757dc7598f35dca,-
EP16-C19,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_1644_Principia_Philosophae_jpg.jpg,File:1644 Principia Philosophae.jpg,https://commons.wikimedia.org/wiki/File:1644_Principia_Philosophae.jpg,Public domain,René Descartes,1644,1308x984,1.29,NO,1047174,50043714495734f738272f9bc9188d8f653817cbf793660dad8de7533fbd80e6,-
