edit_shot_id,asset,path,sha256,phash,series_usage
GW-SHOT-001,GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.mp4,03_VISUALS/CLIPS/GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.mp4,91aa5be2dfab3dd7d072aac40cee4925ab677f29e0fcce2e4300eb46d63e19e9,09a10977de1c21df,EP02_ONLY
GW-SHOT-002,GW_EN_DOC20_TASKING.png,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC20_TASKING.png,51d25fc710bfce15a9f80fb77ebeacc1b0d19436ff6edf534d5991cecc5b5de8,51d33e902e386e65,EP02_ONLY
GW-SHOT-003,GW_EN_DOC15_RECOMMENDATION_H.png,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC15_RECOMMENDATION_H.png,4042059edc8148356cc766cf7b804fe60fb6c44e5723a3455a184eac43840cad,058f3ef02a266a6e,EP02_ONLY
GW-SHOT-004,GW_EN_DOC44_DATE.png,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC44_DATE.png,1794622cde0044b38b0c7e5dc10a1b639516ace576dd323d80bd7375d25d9631,11cc3b336e336e0c,EP02_ONLY
GW-SHOT-005,GW_EN_DOC02_MCDONNELL_SIGNATURE.png,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC02_MCDONNELL_SIGNATURE.png,e2b2489fc66254d29465d61f617eab99371ce4be1330a2a1ae4422b094a5c1aa,158e2ef16a1a6a2e,EP02_ONLY
GW-SHOT-006,GW_EN_MAP01_FORT_MEADE_CONTEXT.png,03_VISUALS/MAPS/GW_EN_MAP01_FORT_MEADE_CONTEXT.png,94f9011ecefeaac03dabe803ec5533c1cd0468f42f828a3844bb08d090be32c5,14c86c21633f1f3e,EP02_ONLY
GW-SHOT-007,GW_EN_CLIP02_ARCHIVE_CHAIN.mp4,03_VISUALS/CLIPS/GW_EN_CLIP02_ARCHIVE_CHAIN.mp4,c45159ac3852d00da5cd2298fd8e8aedf79d8edc09dd8cb6a660f7ff96f324ed,59db36d134263626,EP02_ONLY
GW-SHOT-008,GW_EN_CARD_ARMY_NOT_CIA.png,03_VISUALS/CARDS/GW_EN_CARD_ARMY_NOT_CIA.png,f37bdf71f696755c0c30117b74544e3c42ce2883a4be8ead677fd72d816a93d5,463f39c0862f6db0,EP02_ONLY
GW-SHOT-009,GW_EN_CARD_H_RECOMMENDATION_H.png,03_VISUALS/CARDS/GW_EN_CARD_H_RECOMMENDATION_H.png,3d876805db17b5516f482054f545b877c89d194ea116dd49d383f7ed041d50ac,463939c6c63b39c4,EP02_ONLY
GW-SHOT-010,GW_EN_CLIP09_NONPHYSICAL_PRESENCE_SAFE.mp4,03_VISUALS/CLIPS/GW_EN_CLIP09_NONPHYSICAL_PRESENCE_SAFE.mp4,6db8b27ee7bf6bd7b668bd32c8fc71d12864779fd79ebbd04578087f0363499b,5f1c66f65e8b0016,EP02_ONLY
