content_sha256,perceptual_hash,episode_id,asset_id,series_usage,file_path,registered_utc,notes
da67bd0c27f4d550d5b602a5b8ec3e85a506d1cb6cb1704f7be97f29cc737aa6,abc3515193d3b103,EP01_KOZYREV,KZ_CLIP_ROTATION_HOOK,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/CLIPS/CONFORMED_25FPS/KZ_CLIP_ROTATION_HOOK.mp4,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
7d63a232eaf618dc98526a6a89c562a7e106a871ae7679d7203b065b0479e47f,9363557424251332,EP01_KOZYREV,KZ_DATA_PATENT_FILING_ANCHOR,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_DATA_PATENT_FILING_ANCHOR.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
89517dfd9a1298a10f362dcc4f4863d99b518f91b59ddd1d815c7926f0a4bcbe,7575253535652561,EP01_KOZYREV,KZ_DOC_002,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/DOCUMENT_EVIDENCE/KZ_DOC_002.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
0b6c12cd989355e30d3be513009a39e169b3d0ec4872fca0570a462401d04eb2,841b7b5313130f0d,EP01_KOZYREV,KZ_CARD_MEDICAL_TO_TIME_MACHINE,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_MEDICAL_TO_TIME_MACHINE.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
4f43445f3b7fc933e38cff6eee3c81a99b8fc1d1712784033f3764139fc686ce,0d0d3d3c4ea50d4c,EP01_KOZYREV,KZ_SRC_KOZYREV_PORTRAIT_1983,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/DETERMINISTIC/KZ_SRC_KOZYREV_PORTRAIT_1983.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
0bf8697e03f8d939a2ef94226f66ac440569e2d73af3b0516e3ccf00c9b0c850,2351515575756689,EP01_KOZYREV,KZ_SRC_INVENTOR_PAIR_1996,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/DETERMINISTIC/KZ_SRC_INVENTOR_PAIR_1996.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
e5fef4249ae658a8d6b695f58226b7fa806e59de18b53a837b535933f3fdb27f,85317286130b1e1b,EP01_KOZYREV,KZ_CARD_1983_1996_CONTRADICTION,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_1983_1996_CONTRADICTION.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
a34dcae75ee781aab27da71697ad57b37d2b48aef3805a3f34bc9ed741d8e81b,92d6666646866961,EP01_KOZYREV,KZ_EN_HERO01,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/NANO_BANANA_PRO/KZ_EN_HERO01.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
6f55d3a9add93d5d1be073274c48eb3049ea4e5cbe9c9d205320b369a51f7620,47416b6b63674743,EP01_KOZYREV,KZ_FIG_PATENT_CYLINDER,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_FIG_PATENT_CYLINDER.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
0da30ec18c29a9b7894d5cf3af2b476627ff96a7bc0983592c2ca083ac80ed45,716c86460ace060c,EP01_KOZYREV,KZ_MODEL_CLOCKWISE_SPIRAL,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_MODEL_CLOCKWISE_SPIRAL.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
879d947a975df85c6f0cb1d9776977ce2b1cf9e077fa20bdba430491be03102f,666c323737373643,EP01_KOZYREV,KZ_MODEL_PATENT_FIG3_CCW,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/DETERMINISTIC/KZ_MODEL_PATENT_FIG3_CCW.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
b582631d60f553ffe96c065ef4c0d68e46778275fad40d744d3eb96770cc569e,47496b4763634743,EP01_KOZYREV,KZ_FIG_PATENT_MOTORIZED_PLATFORM,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_FIG_PATENT_MOTORIZED_PLATFORM.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
ab388b8b6259cd86d6c0d6a02450635774e7ac3e553ba7fb5f913dfab05df057,92d66676529a6961,EP01_KOZYREV,KZ_EN_REC01_ENTERING,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/NANO_BANANA_PRO/KZ_EN_REC01_ENTERING.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
a78c1c18fd0c9febf9b6997051cb9298aca11665d0c347a71b441bf1a8d3f98b,1d16959f9a13090f,EP01_KOZYREV,KZ_FILM_LUNAR_STORM_SESSION,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/NATIVE_IMAGEGEN/FINAL_DOCUMENT_REPAIR/KZ_FILM_LUNAR_STORM_SESSION.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
3b5fce60a226f6cb2d862ec68158944780452c746a07dd2f597325764fc2ddc5,841b5b8303032305,EP01_KOZYREV,KZ_CARD_THREE_THEORIES_OPEN,EP01_ONLY,07_ENGLISH_PRODUCTION/EP01_KOZYREV/04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_THREE_THEORIES_OPEN.png,2026-08-27T07:20:27.067370+00:00,Final selected EP01 export; prohibited from reuse in later English episodes.
