filename,cue_id,section,source_file,source_resolution,source_note,view,region,pdf_page,effective_upscale,widened_for_quality,resolution,camera_rule
SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_full.png,V002,S1,EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf,3900x2600,plan_master,FULL_CONTAIN_STATIC,full,1,0.48,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_name_and_opening.png,V003,S1,EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf,3900x2600,plan_master,SEMANTIC_CROP_STATIC,"0.06,0.08,0.94,0.34",1,2.13,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_pressure_passage.png,V005,S1,EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf,3900x2600,plan_master,SEMANTIC_CROP_STATIC,"0.06,0.30,0.94,0.56",1,2.13,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Salem_Village_1692_map_Upham_1866_full_map.png,V006,S1,EP07_Salem_Village_1692_map_Upham_1866.jpg,3840x2733,plan_master,FULL_CONTAIN_STATIC,full,,0.46,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_cannot_speak_nor_stir.png,V009,S1,EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf,3900x2600,plan_master,SEMANTIC_CROP_STATIC,"0.06,0.50,0.94,0.76",1,2.13,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_REM_Polysomnography_30sec_full_trace.png,V010,S1,EP07_REM_Polysomnography_30sec.png,821x601,plan_master,FULL_CONTAIN_STATIC,full,,2.10,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Sleep_Studies_NHLBI_Polysomnography_sensor_detail.png,V011,S1,EP07_Polysomnography_sensor_connections.jpg,756x882,eigene Detailaufnahme: EP07_Polysomnography_sensor_connections.jpg,FULL_CONTAIN_STATIC,full,,1.43,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p2_signature_and_oath.png,V014,S1,EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf,3900x2600,plan_master,SEMANTIC_CROP_STATIC,"0.06,0.58,0.94,0.92",2,1.63,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Bridget_Bishop_Examination_1692_p1_full.png,V015,S1,EP07_Bridget_Bishop_Examination_1692.pdf,3903x2600,plan_master,FULL_CONTAIN_STATIC,full,1,0.48,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Bridget_Bishop_Examination_1692_p1_heading_date.png,V016,S1,EP07_Bridget_Bishop_Examination_1692.pdf,3903x2600,plan_master,SEMANTIC_CROP_STATIC,"0.06,0.05,0.94,0.27",1,2.16,yes,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Bridget_Bishop_lithograph_full_portrait.png,V018,S1,EP07_Bridget_Bishop_lithograph.jpg,300x394,plan_master,FULL_CONTAIN_STATIC,full,,2.20,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Fuseli_The_Nightmare_1781_full_painting.png,V020,S2,EP07_Fuseli_The_Nightmare_1781.jpg,3013x2442,plan_master,FULL_CONTAIN_STATIC,full,,0.52,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Fuseli_The_Nightmare_1781_woman_detail.png,V021,S2,EP07_Fuseli_The_Nightmare_1781.jpg,3013x2442,plan_master,SEMANTIC_CROP_STATIC,"0.26,0.38,0.86,0.94",,1.42,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Fuseli_The_Nightmare_1781_incubus_detail.png,V022,S2,EP07_Fuseli_The_Nightmare_1781.jpg,3013x2442,plan_master,SEMANTIC_CROP_STATIC,"0.34,0.14,0.72,0.60",,2.07,yes,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Fuseli_The_Nightmare_1781_horse_detail.png,V023,S2,EP07_Fuseli_The_Nightmare_1781.jpg,3013x2442,plan_master,SEMANTIC_CROP_STATIC,"0.02,0.06,0.40,0.52",,2.07,yes,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Abildgaard_Nightmare_1800_full_painting.png,V025,S2,Abildgaard_Nachtmahr_1800.jpg,3748x3160,hoeher aufgeloeste Fassung: Abildgaard_Nachtmahr_1800.jpg,FULL_CONTAIN_STATIC,full,,0.40,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Abildgaard_Nightmare_1800_figure_detail.png,V026,S2,Abildgaard_Nachtmahr_1800.jpg,3748x3160,hoeher aufgeloeste Fassung: Abildgaard_Nachtmahr_1800.jpg,SEMANTIC_CROP_STATIC,"0.30,0.26,0.86,0.84",,1.22,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Abildgaard_Nightmare_1800_pressure_detail.png,V029,S2,Abildgaard_Nachtmahr_1800.jpg,3748x3160,hoeher aufgeloeste Fassung: Abildgaard_Nachtmahr_1800.jpg,SEMANTIC_CROP_STATIC,"0.20,0.40,0.68,0.88",,1.42,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Salem_Village_1692_map_Upham_1866_map_edge_detail.png,V031,S2,EP07_Salem_Village_1692_map_Upham_1866.jpg,3840x2733,plan_master,SEMANTIC_CROP_STATIC,"0.52,0.44,0.98,0.94",,1.45,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Queen_of_the_Night_Burney_Relief_full_object.png,V034,S2,EP07_Queen_of_the_Night_Burney_Relief.jpg,1660x2208,plan_master,FULL_CONTAIN_STATIC,full,,0.57,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Jinn_from_Ali_manuscript_full_manuscript.png,V037,S3,EP07_Jinn_from_Ali_manuscript.png,567x264,plan_master,FULL_CONTAIN_STATIC,full,,2.20,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Kunisada_The_Ghost_full_print.png,V038,S3,EP07_Kunisada_The_Ghost.jpg,394x587,plan_master,FULL_CONTAIN_STATIC,full,,2.15,no,2560x1440,NO_PAN_NO_ZOOM
SRC_EP07_Yoshitoshi_Shoki_full_print.png,V039,S3,EP07_Yoshitoshi_Shoki.jpg,468x704,plan_master,FULL_CONTAIN_STATIC,full,,1.79,no,2560x1440,NO_PAN_NO_ZOOM
