asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,hd_capable,bytes,sha256,shared_with
EP14-C01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Cortile_della_Pigna_Vatican_Museums_jpg.jpg,"File:Cortile della Pigna, Vatican Museums.jpg","https://commons.wikimedia.org/wiki/File:Cortile_della_Pigna,_Vatican_Museums.jpg",CC0,Wilfredor,2024-02-10 06:44:12,8256x5504,45.44,YES,22595364,5c18dfe13f1804f5f61f89e8faae4cda0e7e2cd19e25d6f00495a05eefa7b9a3,-
EP14-C02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Cortile_della_Pigna_August_25_2021_jpg.jpg,"File:Cortile della Pigna, August 25, 2021.jpg","https://commons.wikimedia.org/wiki/File:Cortile_della_Pigna,_August_25,_2021.jpg",CC0,D. Benjamin Miller,Taken on 25 August 2021,7867x5244,41.25,YES,40216854,82a09703acfc1ba2b5c896bded3abde9d997575aa01445e1c4c9d052808b65e0,-
EP14-C03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Cortile_della_Pigna_Vatican_Museums_September_2015_2_jpg.jpg,File:Cortile della Pigna (Vatican Museums) September 2015-2.jpg,https://commons.wikimedia.org/wiki/File:Cortile_della_Pigna_(Vatican_Museums)_September_2015-2.jpg,CC BY-SA 4.0,Alvesgaspar,2015-09-09 11:58:26,4602x6908,31.79,YES,26592276,bdef53232f5d8aeba662de1525e4c4ec837d91b22761b57c0f527a481094a484,-
EP14-C04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Cortile_della_Pigna_Vatican_Museums_DSC00661_jpg.jpg,File:Cortile della Pigna - Vatican Museums - DSC00661.jpg,https://commons.wikimedia.org/wiki/File:Cortile_della_Pigna_-_Vatican_Museums_-_DSC00661.jpg,CC0,Daderot,2019-04-06 00:33:45,5472x3648,19.96,YES,9677551,341d436bcfba7e9e90f2ed8a6e5393fcbcb4c98f15f99ddb7cae6ab0291da891,-
EP14-C05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Galileo_before_the_Holy_Office_jpg.jpg,File:Galileo before the Holy Office.jpg,https://commons.wikimedia.org/wiki/File:Galileo_before_the_Holy_Office.jpg,Public domain,Joseph-Nicolas Robert-Fleury,"19th centurydate QS:P571,+1850",5425x3441,18.67,YES,4264247,ec84dc74b5180fae0b16411873131ec0e7e2b356a8fda66e30fff15adfaa7754,-
EP14-C06,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Galileo_Galilei_1564_1642_Recantation_1633_1_png.png,"File:Galileo Galilei (1564 - 1642) - Recantation, 1633 - 1.png","https://commons.wikimedia.org/wiki/File:Galileo_Galilei_(1564_-_1642)_-_Recantation,_1633_-_1.png",Public domain,Galileo Galilei,1633,2967x6040,17.92,YES,36324139,c1540eb419a9138aaaf4a27d1342c158901d16f5cffcf29885202f9fecf216d4,-
EP14-C07,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_La_Forbie_jpg.jpg,File:La Forbie.jpg,https://commons.wikimedia.org/wiki/File:La_Forbie.jpg,Public domain,Matthew Paris,"13th centurydate QS:P,+1250-00",5217x2785,14.53,YES,4501605,d689251ed1e9d1f4d9d4dc7d61fd4b58342d1613090fcae692b4e54b6795640a,-
EP14-C08,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Plan_de_l_H_tel_de_Soubise_D_13059_jpg.jpg,File:Plan de l'Hôtel de Soubise. D.13059.jpg,https://commons.wikimedia.org/wiki/File:Plan_de_l'Hôtel_de_Soubise._D.13059.jpg,CC0,"Lelong, Charles Jean Baptiste (1786), dessinateur",En 1842,3170x4325,13.71,YES,9018980,a49e60dc0079151bdcf2f4d66be2cafcfe7557b93505389fd114545139af5db8,-
EP14-C09,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Cour_d_honneur_fa_ade_palais_Soubise_h_tel_de_Soubise_rue_des_Francs_B.jpg,"File:Cour d’honneur, façade, palais Soubise (hôtel de Soubise), rue des Francs-Bourgeois, 3ème arrondissement, Paris. PH32615.jpg","https://commons.wikimedia.org/wiki/File:Cour_d’honneur,_façade,_palais_Soubise_(hôtel_de_Soubise),_rue_des_Francs-Bourgeois,_3ème_arrondissement,_Paris._PH32615.jpg",CC0,"Anonyme, photographe","circa 1900date QS:P,+1900-00-0",3594x2614,9.39,YES,1426117,584cb3b1eda809d4944529afdab0621af2a2925cccec106faade22b80e617b09,-
EP14-C10,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Cour_d_honneur_palais_Soubise_h_tel_de_Soubise_rue_des_Francs_Bourgeoi.jpg,"File:Cour d’honneur, palais Soubise (hôtel de Soubise), rue des Francs-Bourgeois, 3ème arrondissement, Paris. PH32616.jpg","https://commons.wikimedia.org/wiki/File:Cour_d’honneur,_palais_Soubise_(hôtel_de_Soubise),_rue_des_Francs-Bourgeois,_3ème_arrondissement,_Paris._PH32616.jpg",CC0,"Anonyme, photographe","circa 1900date QS:P,+1900-00-0",2488x3474,8.64,YES,1473742,2517f8260bb5d9a43e014ba223609cab1a8530bb0fab3e772b09eead27b97618,-
EP14-C11,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Portrait_of_Pope_Clement_VII_de_Medici_by_Sebastiano_del_Piombo_The_J.jpg,File:Portrait of Pope Clement VII de' Medici (by Sebastiano del Piombo) - The J. Paul Getty Museum.jpg,https://commons.wikimedia.org/wiki/File:Portrait_of_Pope_Clement_VII_de'_Medici_(by_Sebastiano_del_Piombo)_-_The_J._Paul_Getty_Museum.jpg,Public domain,Sebastiano del Piombo,1531,2488x3000,7.46,YES,2138203,d1a80a851c49f6a8dd9c211f8c8f09dd7a1dd4d9b673fc179005eda25995fc70,-
EP14-C12,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Galileo_s_sketches_of_the_moon_png.png,File:Galileo's sketches of the moon.png,https://commons.wikimedia.org/wiki/File:Galileo's_sketches_of_the_moon.png,Public domain,Galileo Galilei,1610,2200x3050,6.71,YES,6366213,fbac3720cddbe8d7ac937f01ab992f6dade869abf2bb3daf28775d7ba1a9a8c8,EP16_VATICAN_04
EP14-C13,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Cortile_della_Pigna_Roma_italiana_1870_1895_page_397_crop_jpg.jpg,"File:Cortile della Pigna - Roma italiana, 1870-1895 (page 397 crop).jpg","https://commons.wikimedia.org/wiki/File:Cortile_della_Pigna_-_Roma_italiana,_1870-1895_(page_397_crop).jpg",Public domain,Emma Perodi / Gaetano Koch,,2597x1937,5.03,YES,1811314,79b7d2f020a283ab8c18894b6c7ab0f55f51fea2caeff59c4fc5480c25adee5c,-
EP14-C14,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Der_Daemon_Baphomet_PNG.png,File:Der Daemon Baphomet.PNG,https://commons.wikimedia.org/wiki/File:Der_Daemon_Baphomet.PNG,Public domain,Eliphas Levi,"19th centurydate QS:P,+1850-00",1794x2506,4.5,YES,765772,ed9b6314734dfb050680e85b0a3dbcc5ee30130dac5131adef467cac359668f1,-
EP14-C15,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Catherine_of_Aragon_1485_1536_jpg.jpg,File:Catherine of Aragon (1485-1536).jpg,https://commons.wikimedia.org/wiki/File:Catherine_of_Aragon_(1485-1536).jpg,Public domain,Lucas Horenbout,"1525 

2018-04-22",1856x2200,4.08,YES,3561986,5692b103b07c5c043a3340885b4193fedb63b39a38b9b8aaea086baa642554d7,-
EP14-C16,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Baphomet_png.png,File:Baphomet.png,https://commons.wikimedia.org/wiki/File:Baphomet.png,Public domain,Eliphas Levi,1856,1737x2288,3.97,YES,2139710,7b6979bb4c10b0a19df481b06b511e6859fe2946f2144331572064051a0d1014,-
EP14-C17,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Hayton_of_Corycus_before_Pope_Clement_V_jpg.jpg,File:Hayton of Corycus before Pope Clement V.jpg,https://commons.wikimedia.org/wiki/File:Hayton_of_Corycus_before_Pope_Clement_V.jpg,Public domain,Maître du Couronnement de la Vierge,vers 1400,1760x1710,3.01,YES,1269257,45295bf206219895929c5e366436d6976e463dc2e57da8cd4a31675b829bcca7,-
EP14-C18,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Musea_Brugge_HUB_2014_GRO0019_093_III_jpg.jpg,"File:Musea Brugge, HUB, 2014 GRO0019 093 III.jpg","https://commons.wikimedia.org/wiki/File:Musea_Brugge,_HUB,_2014_GRO0019_093_III.jpg",CC0,Domenico Basa / Giovanni Battista de'Cavalieri,between 1591 and 1591date QS:P,1312x2000,2.62,YES,1138638,f892f9a80fc89b067faba02e28d6759ff8c92ca5eb7f7aaf057f6f9f05593f3d,-
