asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,found_by_query,bytes,sha256
EP14-X01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_El_papa_Clemente_VII_por_Sebastiano_del_Piombo_jpg.jpg,"File:El papa Clemente VII, por Sebastiano del Piombo.jpg","https://commons.wikimedia.org/wiki/File:El_papa_Clemente_VII,_por_Sebastiano_del_Piombo.jpg",Public domain,Sebastiano del Piombo,1531,7351x8895,65.39,Clement VII portrait,7579248,1e10faac09722d2e999151972b00292bdb0469de511c6ceeed89800dfe37bc52
EP14-X02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Seal_matrix_wax_copy_FindID_475078_jpg.jpg,File:Seal matrix wax copy (FindID 475078).jpg,https://commons.wikimedia.org/wiki/File:Seal_matrix_wax_copy_(FindID_475078).jpg,CC BY-SA 4.0,"National Museums Liverpool , Vanessa Oakden, 2011-11-29 12:3",between 1200 and 1400dat,7200x7198,51.83,medieval wax seal,2599959,f7bcc5128e9d911adad386d3f76b601d7eaf87373eb7737db5c320269c9df6ab
EP14-X03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Portret_van_Thomas_Wolsey_RP_P_OB_48_289_jpg.jpg,"File:Portret van Thomas Wolsey, RP-P-OB-48.289.jpg","https://commons.wikimedia.org/wiki/File:Portret_van_Thomas_Wolsey,_RP-P-OB-48.289.jpg",CC0,Rijksmuseum,between 1736 and 1738dat,3770x5794,21.84,Thomas Wolsey,5056366,6ee43d890f1c12e700128eaf6edd28e34533bc85c8c7cb921e7ca78e12238aad
EP14-X04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Portrait_of_a_Girl_perhaps_Catherine_of_Aragon_by_Juan_de_Flandes.jpg,"File:Portrait of a Girl, perhaps Catherine of Aragon, by Juan de Flandes, c. 1496 AD, oil on wood - Museo Nacional Centro de Arte Reina Sofía - Madrid, Spain - DSC08571.JPG","https://commons.wikimedia.org/wiki/File:Portrait_of_a_Girl,_perhaps_Catherine_of_Aragon,_by_Juan_de_Flandes,_c._1496_AD,_oil_on_wood_-_Museo_Nacional_Centro_de_Arte_Reina_Sofía_-_Madrid,_Spain_-_DSC08571.JPG",Public domain,Juan de Flandes,"circa 1496date QS:P571,+",3454x4968,17.16,Catherine of Aragon portrait,9385399,46a512928a65ce5ad52ef3301cd5275061be4bb622f18ec73cc688069562b520
EP14-X05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Hans_Holbein_Portait_of_King_Henry_VIII_15434_36_3_29315098975_jpg.jpg,"File:Hans Holbein, Portait of King Henry VIII, 15434-36 (3) (29315098975).jpg","https://commons.wikimedia.org/wiki/File:Hans_Holbein,_Portait_of_King_Henry_VIII,_15434-36_(3)_(29315098975).jpg",CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia",2016-08-12 09:44,3938x3938,15.51,Henry VIII portrait,9154334,acc1aa0f9b2441dd76e8c8b96413f91516a593c0be6cd55f4c5b908384c69dd3
EP14-X06,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Portrait_of_Henry_VIII_of_England_Holbein_jpg.jpg,File:Portrait of Henry VIII of England (Holbein).jpg,https://commons.wikimedia.org/wiki/File:Portrait_of_Henry_VIII_of_England_(Holbein).jpg,CC BY-SA 4.0,Hans Holbein the Younger,from 1539 until 1540date,3601x4079,14.69,Henry VIII portrait,15210550,bfca9e435759d5ea82217abdce27e447897f89eb294e10715bb12450a6577f53
EP14-X07,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Sebastiano_del_Piombo_Italian_Pope_Clement_VII_Google_Art_Project.jpg,File:Sebastiano del Piombo (Italian) - Pope Clement VII - Google Art Project.jpg,https://commons.wikimedia.org/wiki/File:Sebastiano_del_Piombo_(Italian)_-_Pope_Clement_VII_-_Google_Art_Project.jpg,Public domain,Sebastiano del Piombo,1531,3376x4084,13.79,Clement VII portrait,3674360,747624df937ca4eede03abbd2c842f5a19f9c960a29fa2119e8bdb5c407eab74
EP14-X08,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Seal_matrix_wax_impression_FindID_480917_jpg.jpg,File:Seal matrix wax impression (FindID 480917).jpg,https://commons.wikimedia.org/wiki/File:Seal_matrix_wax_impression_(FindID_480917).jpg,CC BY-SA 2.0,"National Museums Liverpool , Vanessa Oakden, 2012-01-11 15:3",between 1250 and 1450dat,3600x3674,13.23,medieval wax seal,2552194,15f2193243dc3cb9ca85cbe701bd96594a782c64852348ebe640272afa501eb7
EP14-X09,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_T_Gismondi_Portes_des_Archives_vaticanes_d_tail_1_jpg.jpg,File:T. Gismondi - Portes des Archives vaticanes - détail 1.jpg,https://commons.wikimedia.org/wiki/File:T._Gismondi_-_Portes_des_Archives_vaticanes_-_détail_1.jpg,CC BY-SA 4.0,Prof75,2019-04-02 10:11:41,3096x4128,12.78,Vatican Apostolic Archive,4549258,827fd084ca2a332852ffd356963ba470f921992f96dbe8215224ef9f0c66383b
EP14-X10,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Hans_Holbein_the_Younger_Around_1497_1543_Portrait_of_Henry_VIII_o.jpg,"File:Hans Holbein, the Younger, Around 1497-1543 - Portrait of Henry VIII of England - Google Art Project.jpg","https://commons.wikimedia.org/wiki/File:Hans_Holbein,_the_Younger,_Around_1497-1543_-_Portrait_of_Henry_VIII_of_England_-_Google_Art_Project.jpg",Public domain,Hans Holbein the Younger,1537,2994x4203,12.58,Henry VIII portrait,11503099,ade1d60fe499761d22f5e3645ab970766dcea11f8efdab78911319aa0257ec54
