filename,base_asset,resolution,editor_rule
CUT001_IMG004_PERIPHERAL_LEFT.png,IMG004_SHADOW_PERIPHERAL_GLIMPSE.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT002_IMG003_ABSENCE_DETAIL.png,IMG003_SHADOW_DOORWAY_GENERIC.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT003_IMG008_LAYER_DETAIL.png,IMG008_INTRUDER_OVERLAP_BASE.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT004_IMG005_FORUM_DETAIL.png,IMG005_EARLY_WEB_FORUM_RECON.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT005_SHOT02_DARKNESS_DETAIL.png,SHOT02_CRT_DARK_ROOM.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT006_IMG004_PERIPHERAL_RIGHT.png,IMG004_SHADOW_PERIPHERAL_GLIMPSE.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT007_IMG010_FIELD_ARCS.png,IMG010_GREY_FORM_AMBIGUOUS.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT008_IMG009_BODY_DETAIL.png,IMG009_ALIEN_BEDROOM_IMMOBILITY.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT009_IMG018_BRIM_GEOMETRY.png,IMG018_HAT_BRIM_MINIMAL.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT010_IMG019_OBJECT_SOURCES.png,IMG019_HAT_MAN_AS_ROOM_GEOMETRY.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT011_IMG020_REPORT_GRID.png,IMG020_HAT_MAN_REPORT_VARIATIONS.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT012_IMG021_CAUSE_STREAMS.png,IMG021_MULTIPLE_CAUSES_SAME_SILHOUETTE.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT013_IMG017_TYPOLOGY_WALL.png,IMG017_HAT_MAN_FOOT_OF_BED.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT014_SHOT05_SOURCE_OBJECT.png,SHOT05_HAT_SHADOW_EMPTY_ROOM.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT015_IMG023_PATTERN_SIDE.png,IMG023_PATTERN_OR_MEME_BASE.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT016_IMG007_GEOMETRIC_ICON.png,IMG007_NAME_STABILIZES_SHAPE.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT018_IMG024_RESULT_TILES.png,IMG024_SEARCH_AFTER_EXPERIENCE.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT019_IMG022_HAT_INPUT.png,IMG022_INTERNET_SUPPLIES_HAT.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT020_SHOT07_WINDOW_GRID.png,SHOT07_MULTIPLE_BLANK_FORUM_WINDOWS.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT021_IMG026_EXPECTATION_PANEL.png,IMG026_FORUM_TO_IMAGE_TO_EXPECTATION.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
CUT023_IMG031_DISSOLVE_DETAIL.png,IMG031_HAT_MAN_DISSOLVES_INTO_PIXELS.png,2560x1440,PRE_RENDERED_SEMANTIC_REFRAME; NO_LIVE_ZOOM
