asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,hd_capable,bytes,sha256,shared_with
EP17-C01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_70_seere_sigilo_ars_goetia_svg.svg,File:70-seere-sigilo-ars-goetia.svg,https://commons.wikimedia.org/wiki/File:70-seere-sigilo-ars-goetia.svg,Public domain,S. L. MacGregor Mathers &amp; Aleister Crowley (1904 edition),1904,2459x2459,6.05,YES,91066,ffef0f795b1e7b30ff917a5ab4dada307c33b7256631a06dca1530bdf9eb024a,-
EP17-C02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_Portrait_de_Jean_Martin_Charcot_1825_1893_m_decin_PH8998_jpg.jpg,"File:Portrait de Jean Martin Charcot, (1825-1893), médecin, PH8998.jpg","https://commons.wikimedia.org/wiki/File:Portrait_de_Jean_Martin_Charcot,_(1825-1893),_médecin,_PH8998.jpg",CC0,"Anonyme, photographe",between 1875 and 1886date QS:P,2007x3000,6.02,YES,792952,a81d10da06fb680736cf5042b417e143559618114edcc16bb2caace6c970b09d,-
EP17-C03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_Portrait_of_Pope_Paul_V_by_Marcello_Provenzale_jpg.jpg,"File:Portrait of Pope Paul V, by Marcello Provenzale.jpg","https://commons.wikimedia.org/wiki/File:Portrait_of_Pope_Paul_V,_by_Marcello_Provenzale.jpg",Public domain,Marcello Provenzale,1621,1858x2352,4.37,YES,851511,2ad4ac226e888b4d56fdd2224afa487f5f623a8d9b786a025dd8d87b79d4bde6,-
EP17-C04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_Fran_ois_Auguste_Biard_L_Exorcisme_de_la_folie_de_Charles_VI_jpg.jpg,File:François-Auguste Biard - L'Exorcisme de la folie de Charles VI.jpg,https://commons.wikimedia.org/wiki/File:François-Auguste_Biard_-_L'Exorcisme_de_la_folie_de_Charles_VI.jpg,Public domain,François-Auguste Biard,"1839date QS:P571,+1839-00-00T0",1700x2048,3.48,YES,572353,1c2ff48b33b2b9f0e20b27e1503e1cf6b33249dc075f6d0dda2ecaccf1f7f297,-
EP17-C05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_Antonio_Vivarini_Saint_Peter_Martyr_Exorcizing_a_Woman_Possessed_by_a.jpg,File:Antonio Vivarini - Saint Peter Martyr Exorcizing a Woman Possessed by a Devil - 1983.384 - Art Institute of Chicago.jpg,https://commons.wikimedia.org/wiki/File:Antonio_Vivarini_-_Saint_Peter_Martyr_Exorcizing_a_Woman_Possessed_by_a_Devil_-_1983.384_-_Art_Institute_of_Chicago.jpg,Public domain,Antonio Vivarini,between 1440 and 1455date QS:P,1440x2250,3.24,YES,1361629,12e15523fcc65a8a953fe09dd93c3559d600dffffb1c39d1f22419a1ebd0b79b,-
EP17-C06,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_Folio_166r_The_Exorcism_jpg.jpg,File:Folio 166r - The Exorcism.jpg,https://commons.wikimedia.org/wiki/File:Folio_166r_-_The_Exorcism.jpg,Public domain,,,1027x1707,1.75,NO,384787,18f771d90d4a6757fcd3f9276369695d3e6e09d8b63e9429bbc0a5cf3b609814,-
EP17-C07,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_Ill_dict_infernal_p0103_89_belzebuth_jpg.jpg,File:Ill dict infernal p0103-89 belzebuth.jpg,https://commons.wikimedia.org/wiki/File:Ill_dict_infernal_p0103-89_belzebuth.jpg,Public domain,Louis Le Breton,1863,1208x1344,1.62,NO,448954,50ea38eac7d7c8fdf1afa5577970782f14c6eb78a03b5cb5597877e5d863281d,-
EP17-C08,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_Ill_dict_infernal_p0139_123_buer_jpg.jpg,File:Ill dict infernal p0139-123 buer.jpg,https://commons.wikimedia.org/wiki/File:Ill_dict_infernal_p0139-123_buer.jpg,Public domain,Louis Le Breton,1863,1170x1362,1.59,NO,486242,8ad87145fcf94963e2593acc6b5fe75bc0cac5584199b236721ced5c5f1bce6c,-
EP17-C09,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_Rituale_Romanum_Pauli_V_Pont_Max_iussu_editum_IA_ritualeromanumpa00cat.pdf,File:Rituale Romanum Pauli V. Pont. Max. iussu editum (IA ritualeromanumpa00cath).pdf,https://commons.wikimedia.org/wiki/File:Rituale_Romanum_Pauli_V._Pont._Max._iussu_editum_(IA_ritualeromanumpa00cath).pdf,Public domain,"Catholic Church
Cicero, Marcus Tullius. De officiis",,879x1433,1.26,NO,46623951,bd6d1e7a00b5934f3b6101d310e9891f986fab526ce9854ff9d7eaa44d66795b,-
EP17-C10,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_Mosaic_of_the_exorcism_of_the_Gerasene_demoniac_from_the_Basilica_of_S.jpg,File:Mosaic of the exorcism of the Gerasene demoniac from the Basilica of Sant'Apollinare Nuovo.jpg,https://commons.wikimedia.org/wiki/File:Mosaic_of_the_exorcism_of_the_Gerasene_demoniac_from_the_Basilica_of_Sant'Apollinare_Nuovo.jpg,Public domain,unknown sixth-century AD mosaicist of the Basilica of Sant'Apollinare ,2020-04-26 07:03:14,1123x817,0.92,NO,462050,25a1a9fc6f0137ae2dcc23ac9467253521da0d0eeb8f01cf3bd354728f01b9b2,-
