asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,found_by_query,bytes,sha256
EP17-X01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Dutch_school_17th_century_Gothic_church_interior_png.png,"File:Dutch school, 17th century - Gothic church interior.png","https://commons.wikimedia.org/wiki/File:Dutch_school,_17th_century_-_Gothic_church_interior.png",Public domain,"Dutch School

17th centurydate QS:P,+1650-00-00T00:00:00Z/7",,6829x5332,36.41,church interior 17th century painting,68174502,12c83f16fae502445e86ad1c7f232db84ae69fce0d985d22275d8b4c2f43fe92
EP17-X02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Jan_Erasmus_Quellinus_Portrait_of_Aubertus_van_Eede_bishop_of_Antw.jpg,"File:Jan Erasmus Quellinus - Portrait of Aubertus van Eede, bishop of Antwerp.jpg","https://commons.wikimedia.org/wiki/File:Jan_Erasmus_Quellinus_-_Portrait_of_Aubertus_van_Eede,_bishop_of_Antwerp.jpg",Public domain,Jan Erasmus Quellinus,first half of 17th centu,5278x6154,32.48,Bishop portrait 17th century,25774742,451ba3ad5481c1b60957f18a23c260c64456f562568b3bbfa4c1fb0ddacba3a3
EP17-X03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Lancashire_1610_Speed_Hondius_jpg.jpg,File:Lancashire 1610 Speed Hondius.jpg,https://commons.wikimedia.org/wiki/File:Lancashire_1610_Speed_Hondius.jpg,Public domain,Hondius; John Speed,1610,6456x4971,32.09,Lancashire 17th century,10376029,6c2041a76df7c0b375e479469a2f68be9178ad90afbfd6efd77506d2f8ee6589
EP17-X04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Lancashire_1610_Speed_Hondius_png.png,File:Lancashire 1610 Speed Hondius.png,https://commons.wikimedia.org/wiki/File:Lancashire_1610_Speed_Hondius.png,Public domain,John Speed and Jodocus Hondius,1610,6456x4971,32.09,Lancashire 17th century,58691668,8c194d381bb4bf0426b2e153e18325d86118ffb06d25ea018e30665e64e5fbfa
EP17-X05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Maps_of_England_circa_1670_Lancashire_21_of_40_13432454715_jpg.jpg,"File:Maps of England circa 1670, Lancashire 21 of 40 (13432454715).jpg","https://commons.wikimedia.org/wiki/File:Maps_of_England_circa_1670,_Lancashire_21_of_40_(13432454715).jpg",CC BY 2.0,Richard from USA,2014-03-26 15:53,4983x6333,31.56,Lancashire 17th century,4385799,32405c41bb935d11f5878e7aa2a0bf105342575159ba663318fbaa6b14175f53
EP17-X06,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Lucas_Franchoys_II_Portrait_of_Fran_ois_Vilain_de_Gand_baron_of_Ra.jpg,"File:Lucas Franchoys (II) - Portrait of François Vilain de Gand, baron of Rassenghem. Bishop of Tournai.jpg","https://commons.wikimedia.org/wiki/File:Lucas_Franchoys_(II)_-_Portrait_of_François_Vilain_de_Gand,_baron_of_Rassenghem._Bishop_of_Tournai.jpg",Public domain,Lucas Franchoys the Younger,between 1646 and 1666dat,4218x6272,26.46,Bishop portrait 17th century,3947735,092bafad94259101bfb657b0d2734b951aee1507bc85a1df0c068389eea86b36
EP17-X07,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Pieter_Thijs_Attr_Portrait_of_an_Archbishop_bust_length_in_his_cle.jpg,"File:Pieter Thijs (Attr.) - Portrait of an Archbishop, bust-length, in his clerical robes.jpg","https://commons.wikimedia.org/wiki/File:Pieter_Thijs_(Attr.)_-_Portrait_of_an_Archbishop,_bust-length,_in_his_clerical_robes.jpg",Public domain,Attributed to Pieter Thijs,between 1644 and 1677dat,4332x5314,23.02,Bishop portrait 17th century,3528280,ca48baf7086885a506ac164eac8f6c71d48de19b52f700fa7088fd68131ce717
EP17-X08,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Lancastria_Palatinatus_anglis_Lancaster_et_Lancashire_22072804229.jpg,"File:""Lancastria Palatinatus, anglis Lancaster et Lancashire"" (22072804229).jpg","https://commons.wikimedia.org/wiki/File:""Lancastria_Palatinatus,_anglis_Lancaster_et_Lancashire""_(22072804229).jpg",CC BY 2.0,Fondo Antiguo de la Biblioteca de la Universidad de Sevilla ,2015-10-17 17:47,3830x3097,11.86,Lancashire 17th century,2211218,205e0fa4c1b4f264ae32936edb016eb58d9977333f08fc36c1666fa8d0cf515b
EP17-X09,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Johannes_Ruisscher_reworked_by_Anthonie_Waterloo_Village_beside_a.jpg,"File:Johannes Ruisscher (reworked by Anthonie Waterloo), Village beside a Canal, second half 17th century, NGA 79396.jpg","https://commons.wikimedia.org/wiki/File:Johannes_Ruisscher_(reworked_by_Anthonie_Waterloo),_Village_beside_a_Canal,_second_half_17th_century,_NGA_79396.jpg",CC0,Johannes Ruisscher (reworked by Anthonie Waterloo),second half 17th century,4000x2367,9.47,English village 17th century engraving,8914600,ab5c8f5a26d73873a9895a246d81e5e60ee9f88a88f8380b55440a5bbac13513
EP17-X10,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_17th_Century_map_pf_Lancashire_JPG.jpg,File:17th Century map pf Lancashire.JPG,https://commons.wikimedia.org/wiki/File:17th_Century_map_pf_Lancashire.JPG,Public domain,Seriykotik,1627,3456x2592,8.96,Lancashire 17th century,4866798,3dbe859f04714b91167f145991035d0ded5ed3dc3c6926ff691979ef06992c49
EP17-X11,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Lancashire_Morden_1695_jpg.jpg,File:Lancashire-Morden-1695.jpg,https://commons.wikimedia.org/wiki/File:Lancashire-Morden-1695.jpg,Public domain,Robert Morden,1695,2667x3000,8.0,Lancashire 17th century,2066649,154c4265369c5134c7cb3d1e2d3abe7bd92091618075b4ad7a9576dd0e32d7bb
EP17-X12,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Lancashire_1610_Speed_Hondius_Restoration_jpg.jpg,File:Lancashire 1610 Speed Hondius - Restoration.jpg,https://commons.wikimedia.org/wiki/File:Lancashire_1610_Speed_Hondius_-_Restoration.jpg,Public domain,"Jodocus Hondius, engraved by John Speed, and restored by Ada",1610,2610x2000,5.22,Lancashire 17th century,7693809,71ddacb3c4f401e7ef20d5663f85e535f054cf642eb14173077d354d51cd7661
EP17-X13,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Speed_s_Map_of_Lancashire_1623_jpg.jpg,"File:Speed's Map of Lancashire, 1623.jpg","https://commons.wikimedia.org/wiki/File:Speed's_Map_of_Lancashire,_1623.jpg",CC BY-SA 4.0,Ardfern,2019-09-06 15:39:26,2560x1920,4.92,Lancashire 17th century,1349221,cb10bed8beb8fd72f652649604147f09f1d2a84cb0e52f5fcb9daf1810ac924d
EP17-X14,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_Southwest_Lancashire_1610_jpg.jpg,File:Southwest.Lancashire.1610.jpg,https://commons.wikimedia.org/wiki/File:Southwest.Lancashire.1610.jpg,Public domain,William Ashton,1920,1265x1800,2.28,Lancashire 17th century,282196,d410843d6831b3dfb90928921c29f14c868c8931300906ef73b3d0e8c0da8f09
EP17-X15,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_X_North_Lancashire_1610_jpg.jpg,File:North.Lancashire.1610.jpg,https://commons.wikimedia.org/wiki/File:North.Lancashire.1610.jpg,Public domain,William Ashton,1920,1800x1197,2.15,Lancashire 17th century,315712,8c8e307a15f658e6270861f01a761d8d9a6f316e6d99021d03f0aae6675c44ee
