asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,hd_capable,bytes,sha256,shared_with
EP15-C01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_Keizer_Constantijn_overhandigt_Rome_aan_paus_Silvester_I_en_het_Seleuc.jpg,"File:Keizer Constantijn overhandigt Rome aan paus Silvester I en het Seleucidische oordeel Donatio Constantini Seleucus filio ob adulterium utriusq oculi paena daninato populi precib (titel op object) Voorstellingen door Ra, RP-P-OB-34.099.jpg","https://commons.wikimedia.org/wiki/File:Keizer_Constantijn_overhandigt_Rome_aan_paus_Silvester_I_en_het_Seleucidische_oordeel_Donatio_Constantini_Seleucus_filio_ob_adulterium_utriusq_oculi_paena_daninato_populi_precib_(titel_op_object)_Voorstellingen_door_Ra,_RP-P-OB-34.099.jpg",CC0,Rijksmuseum,between 1645 and 1700date QS:P,5726x3678,21.06,YES,2721585,0ead918a095f4b7c89f6fc4df27f1dcc8992ef0c1e7fc5006347691531d70af0,-
EP15-C02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_Cristoforo_di_Geremia_Alfonso_V_of_Aragon_1396_1458_King_of_Naples_and.jpg,"File:Cristoforo di Geremia, Alfonso V of Aragon, 1396-1458, King of Naples and Sicily 1443 (obverse), 1458, NGA 44700.jpg","https://commons.wikimedia.org/wiki/File:Cristoforo_di_Geremia,_Alfonso_V_of_Aragon,_1396-1458,_King_of_Naples_and_Sicily_1443_(obverse),_1458,_NGA_44700.jpg",CC0,,,4585x4585,21.02,YES,14770846,1f96a7a85a2ed2763a0549b062fcd3cd8e14774a8e7d1c715f3f8fc937fb7fa6,-
EP15-C03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_Portret_van_Lorenzo_Valla_Laurentius_Valla_titel_op_object_RP_P_1909_4.jpg,"File:Portret van Lorenzo Valla Laurentius Valla (titel op object), RP-P-1909-4359.jpg","https://commons.wikimedia.org/wiki/File:Portret_van_Lorenzo_Valla_Laurentius_Valla_(titel_op_object),_RP-P-1909-4359.jpg",CC0,Rijksmuseum,ca. 1597 - ca. 1599 en/of 1669,3900x5136,20.03,YES,5010168,e623ff389c5bd47839e5d62ba80d86fcd32553d4b3bde2152fa88ee80ce93637,-
EP15-C04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_Constantine_Roman_age_of_Constantine_probably_330_337_AD_gilded_bronze.jpg,"File:Constantine, Roman, age of Constantine, probably 330-337 AD, gilded bronze - Musei Capitolini - Rome, Italy - DSC05875.jpg","https://commons.wikimedia.org/wiki/File:Constantine,_Roman,_age_of_Constantine,_probably_330-337_AD,_gilded_bronze_-_Musei_Capitolini_-_Rome,_Italy_-_DSC05875.jpg",Public domain,Daderot,2019-04-15 07:34:39,5472x3648,19.96,YES,9707892,6c72a70ecebf5aec0c710c0ee8b8a182c563459971c254b1eea31f32d3dc16ae,-
EP15-C05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_SanSilvestro_frescoes_ConstantineSilvestro_Scene6_NorthWall_jpg.jpg,File:SanSilvestro frescoes ConstantineSilvestro Scene6 NorthWall.jpg,https://commons.wikimedia.org/wiki/File:SanSilvestro_frescoes_ConstantineSilvestro_Scene6_NorthWall.jpg,CC BY-SA 4.0,LeZibou,2016,5472x3648,19.96,YES,4882163,aec0b2f73f0a275d4e0b776246cb4a2acb8feb12205f73d32df8eae1fafc99c6,-
EP15-C06,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_SanSilvestro_frescoes_ConstantineSilvestro_Scene7_NorthWall_jpg.jpg,File:SanSilvestro frescoes ConstantineSilvestro Scene7 NorthWall.jpg,https://commons.wikimedia.org/wiki/File:SanSilvestro_frescoes_ConstantineSilvestro_Scene7_NorthWall.jpg,CC BY-SA 4.0,LeZibou,2016,5472x3648,19.96,YES,5254058,b3efe07a27e35291dad7cdbe09f38b9e67f9bc5f8313be1249ad8005b5150265,-
EP15-C07,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_SanSilvestro_frescoes_ConstantineSilvestro_Scene8_NorthWall_jpg.jpg,File:SanSilvestro frescoes ConstantineSilvestro Scene8 NorthWall.jpg,https://commons.wikimedia.org/wiki/File:SanSilvestro_frescoes_ConstantineSilvestro_Scene8_NorthWall.jpg,CC BY-SA 4.0,LeZibou,2016,5472x3648,19.96,YES,5452373,6d027cf791cfdd2e6afa66d973a5fb06124e140fbbfc90a8a4f586bfe592a418,-
EP15-C08,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_Pisanello_Alfonso_V_of_Aragon_1394_1458_King_of_Naples_and_Sicily_1443.jpg,"File:Pisanello, Alfonso V of Aragon, 1394-1458, King of Naples and Sicily 1443, probably 1449, NGA 44352.jpg","https://commons.wikimedia.org/wiki/File:Pisanello,_Alfonso_V_of_Aragon,_1394-1458,_King_of_Naples_and_Sicily_1443,_probably_1449,_NGA_44352.jpg",CC0,Pisanello,probably 1449,3621x5166,18.71,YES,10842107,f46aa574a0361e178ed242de6a51192cfe3bf2cd86a0bfc3c435a90444f3fc59,-
EP15-C09,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_The_Donation_of_Constantine_page_318_jpg.jpg,"File:The Donation of Constantine, page 318.jpg","https://commons.wikimedia.org/wiki/File:The_Donation_of_Constantine,_page_318.jpg",Public domain,"Pseudo-Isidore

(Uploaded by Stephan Dinkgreve)","9th centurydate QS:P,+850-00-0",3208x4256,13.65,YES,2671278,6a5e29c30bcec41bf4811a5fb0c5ff932032a4566f3aab8cad5611f54b32c6b6,-
EP15-C10,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_Lorenzo_Valla_targa_jpg.jpg,File:Lorenzo Valla targa.jpg,https://commons.wikimedia.org/wiki/File:Lorenzo_Valla_targa.jpg,CC0,Ricercastorica,2023-11-26 11:13:31,4080x3060,12.48,YES,4111929,52281c02587f1781d54f43de01eefde71fa102d017f3e4ca3433863b51cbe88c,-
