asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,found_by_query,bytes,sha256
EP15-X01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_X_Colossus_of_Constantine_I_03_jpg.jpg,File:Colossus of Constantine I 03.jpg,https://commons.wikimedia.org/wiki/File:Colossus_of_Constantine_I_03.jpg,CC0,Wilfredor,2024-02-11 11:05:59,4802x7427,35.66,Constantine the Great sculpture,18189831,3fcd26c32aa473e480745596474c8a827a226d783490736946f1319bf83d8cbd
EP15-X02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_X_The_Donation_of_Constantine_2_jpg.jpg,File:The Donation of Constantine 2.jpg,https://commons.wikimedia.org/wiki/File:The_Donation_of_Constantine_2.jpg,CC BY-SA 4.0,Burkhard Mücke,2017-10-18 20:15:37,6624x4416,29.25,Donation of Constantine painting,28158497,8efc10c57b52dc58230ef4363f171c9d031dd8ee396952a974b8ba0f2d9d2d7d
EP15-X03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_X_Basilica_di_San_Giovanni_in_Laterano_1_jpg.jpg,File:Basilica di San Giovanni in Laterano (1).jpg,https://commons.wikimedia.org/wiki/File:Basilica_di_San_Giovanni_in_Laterano_(1).jpg,CC BY-SA 4.0,"This Photo was taken by Andrea Bertozzi.  

Feel free to use",2021-12-18 16:36:09,6240x4160,25.96,Lateran Basilica interior,16934810,806512f57d354486d7d0eb45fbea102326aba360a1d4f6e8fbb276f5a029d149
EP15-X04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_X_Portret_van_Lorenzo_Valla_RP_P_1909_4518_jpg.jpg,"File:Portret van Lorenzo Valla, RP-P-1909-4518.jpg","https://commons.wikimedia.org/wiki/File:Portret_van_Lorenzo_Valla,_RP-P-1909-4518.jpg",CC0,Rijksmuseum,between 1694 and 1755dat,3780x5914,22.35,Lorenzo Valla portrait,5213727,be9f0b03dbeef0a781018489126dd99c653a0e3290772275a74fb03c0ee8cf5f
EP15-X05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_X_Donatio_Constantini_school_of_Raphael_jpg.jpg,"File:Donatio Constantini, school of Raphael.jpg","https://commons.wikimedia.org/wiki/File:Donatio_Constantini,_school_of_Raphael.jpg",CC BY-SA 4.0,Burkhard Mücke,2017-10-18 20:15:53,5100x3525,17.98,Donation of Constantine painting,20924479,e4467ef8645cb3a053a7c5512f59c8a9338bd1bc9b81181b50092c81d44ba276
EP15-X06,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_X_The_Papal_Cathedra_Basilica_San_Giovanni_in_Laterano_45603162864_j.jpg,"File:The Papal Cathedra, Basilica San Giovanni in Laterano (45603162864).jpg","https://commons.wikimedia.org/wiki/File:The_Papal_Cathedra,_Basilica_San_Giovanni_in_Laterano_(45603162864).jpg",CC BY 2.0,Sonse,2018-11-13 17:10,3436x5153,17.71,Lateran Basilica interior,2511349,c2a2d3d64988d9c128cc384ba51d27f85ea5c52e1af5e0b19c9fe3bf730defa2
EP15-X07,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_X_Konstanz_M_nster_Sylvesterkapelle_Fresko_Sylvester_01_jpg.jpg,File:Konstanz Münster Sylvesterkapelle Fresko Sylvester 01.jpg,https://commons.wikimedia.org/wiki/File:Konstanz_Münster_Sylvesterkapelle_Fresko_Sylvester_01.jpg,CC BY-SA 4.0,Uoaei1,2018-08-14 11:56:57,2809x6000,16.85,Pope Sylvester I,10508741,0037002a780b0a3ecdd8bb0ee512e2b0ec760e4e5f9ae78bf7be0aa4792d912b
EP15-X08,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_X_Roman_coin_Nummus_of_the_House_of_Constantine_FindID_709266_jpg.jpg,"File:Roman coin, Nummus of the House of Constantine (FindID 709266).jpg","https://commons.wikimedia.org/wiki/File:Roman_coin,_Nummus_of_the_House_of_Constantine_(FindID_709266).jpg",CC BY 2.0,"Salisbury and South Wiltshire Museum, Richard Henry, 2015-04",between 330 and 348,5152x3136,16.16,Constantine coin,3081917,90e78beae90762e4e2b4ba081c11c9aec7d24222fe6e55aac4a8981c926ea7b1
EP15-X09,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_X_Roman_Coin_Nummus_of_House_of_Constantine_FindID_642295_jpg.jpg,"File:Roman Coin, Nummus of House of Constantine (FindID 642295).jpg","https://commons.wikimedia.org/wiki/File:Roman_Coin,_Nummus_of_House_of_Constantine_(FindID_642295).jpg",CC BY-SA 4.0,"North Lincolnshire Museum, Martin Foreman, 2014-10-14 13:18:",ROMAN,5596x2362,13.22,Constantine coin,697278,a34f327a864b88fda6707395551e0b79badb5ff06a35489da12e0732ec73a51c
EP15-X10,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP15_X_School_of_Raphael_Donation_of_Rome_jpg.jpg,File:School of Raphael - Donation of Rome.jpg,https://commons.wikimedia.org/wiki/File:School_of_Raphael_-_Donation_of_Rome.jpg,Public domain,School of Raphael,1520-24.,3997x2601,10.4,Donation of Constantine painting,4788700,c95bf9a8a45ab641dd86da29a5d6c277c72c585cab98fdb3c256d1f941cb18f5
