filename,kind,source,resolution,camera_rule
ORIG_ORIG_EGYPT_MAP_PD_full_map.png,MAP_PD,Egypt location map.svg,2560x1440,NO_PAN_NO_ZOOM
ORIG_ORIG_DENMARK_MAP_PD_full_map.png,MAP_PD,Denmark location map.svg,2560x1440,NO_PAN_NO_ZOOM
ORIG_ORIG_NEWFOUNDLAND_MAP_PD_full_map.png,MAP_PD_SHARED_WITH_EP06,EP06_Fogo_Island_to_Cape_Bonavista_Admiralty_Chart_1873.jpg,2560x1440,NO_PAN_NO_ZOOM
ORIG_ORIG_NEWFOUNDLAND_MAP_PD_newfoundland_detail.png,MAP_PD_SHARED_WITH_EP06,EP06_Fogo_Island_to_Cape_Bonavista_Admiralty_Chart_1873.jpg,2560x1440,NO_PAN_NO_ZOOM
ORIG_ORIG_NEWFOUNDLAND_MAP_PD_full_return.png,MAP_PD_SHARED_WITH_EP06,EP06_Fogo_Island_to_Cape_Bonavista_Admiralty_Chart_1873.jpg,2560x1440,NO_PAN_NO_ZOOM
ORIG_ORIG_HUFFORD_TERROR_BOOK_COVER_LICENSED_full_cover.png,SOURCE_CARD,Quellenkarte · Werkangabe,2560x1440,STATIC_CARD
ORIG_ORIG_HUFFORD_TERROR_BOOK_COVER_LICENSED_title_detail.png,SOURCE_CARD,Quellenkarte · Titel und Methode,2560x1440,STATIC_CARD
ORIG_ORIG_HUFFORD_TERROR_BOOK_COVER_LICENSED_cover_return.png,SOURCE_CARD,Quellenkarte · Rückgriff,2560x1440,STATIC_CARD
ORIG_ORIG_HUFFORD_PORTRAIT_LICENSED_portrait.png,SOURCE_CARD,Quellenkarte · Personenangabe ohne Bild,2560x1440,STATIC_CARD
ORIG_ORIG_JALAL_HINTON_EGYPT_DENMARK_PAPER_title_authors.png,SOURCE_CARD,Bibliografische Quellenkarte · Ersatz für nicht frei nutzbare Paperseite,2560x1440,STATIC_CARD
ORIG_ORIG_JALAL_HINTON_EGYPT_DENMARK_PAPER_methods_detail.png,SOURCE_CARD,Quellenkarte · Methode,2560x1440,STATIC_CARD
ORIG_ORIG_JALAL_HINTON_EGYPT_DENMARK_PAPER_results_detail.png,SOURCE_CARD,Quellenkarte · Befund,2560x1440,STATIC_CARD
ORIG_ORIG_JALAL_HINTON_EGYPT_DENMARK_PAPER_citation_block.png,SOURCE_CARD,Quellenkarte · Zitationsangabe,2560x1440,STATIC_CARD
ORIG_ORIG_EGYPT_SLEEP_PARALYSIS_SOURCE_source_detail.png,SOURCE_CARD,Quellenkarte · kultureller Kontext,2560x1440,STATIC_CARD
ORIG_ORIG_DENMARK_SLEEP_PARALYSIS_SOURCE_source_detail.png,SOURCE_CARD,Quellenkarte · kultureller Kontext,2560x1440,STATIC_CARD
ORIG_ORIG_CHINESE_GHOST_PRESSURE_SOURCE_PD_source_detail.png,SOURCE_CARD,Quellenkarte · Überlieferungshinweis,2560x1440,STATIC_CARD
ORIG_ORIG_ART_BELL_2001_BROADCAST_SOURCE_source_frame.png,SOURCE_CARD,Quellenkarte · Sendungsangabe,2560x1440,STATIC_CARD
